,size,numLabels,time,CPUs
194,2843,8,244.080619,8
195,2841,16,384.277381,8
196,2839,32,659.0820952,8
197,2845,64,1225.705667,8
198,3792,2,157.7091429,8
199,3798,4,207.9582857,8
200,3788,8,304.0227619,8
201,3783,16,485.6427143,8
202,3791,32,855.8005714,8
203,3792,64,1594.968619,8
204,4739,2,186.2446667,8
205,4742,4,246.3705238,8
206,4744,8,367.0410952,8
207,4744,16,597.2048095,8
208,4746,32,1062.64481,8
209,4740,64,1991.239048,8
210,5697,2,214.5970952,8
211,5687,4,292.1327143,8
212,5690,8,439.8052857,8
213,5682,16,716.1670952,8
214,5691,32,1277.557762,8
215,5691,64,2409.412,8
216,6653,2,251.0804286,8
217,6643,4,337.0734286,8
218,6648,8,511.6192857,8
219,6645,16,841.2006667,8
220,6640,32,1496.863476,8
221,6643,64,2817.486143,8
222,7600,2,276.8496667,8
223,7602,4,376.5214286,8
224,7598,8,572.2884286,8
225,7601,16,950.7235238,8
226,7602,32,1697.747619,8
227,7596,64,3217.879714,8
228,8560,2,308.1448095,8
229,8550,4,422.7099524,8
230,8536,8,647.4329048,8
231,8541,16,1066.624952,8
232,8548,32,1906.444286,8
233,8540,64,3615.324524,8
234,9488,2,341.182381,8
235,9500,4,463.395381,8
236,9497,8,713.1430952,8
237,9498,16,1187.02519,8
238,9499,32,2128.66319,8
239,9505,64,4006.919857,8
240,957,2,69.54038095,16
241,953,4,72.39709524,16
242,953,8,85.00147619,16
243,959,16,108.125619,16
244,953,32,162.4187143,16
245,951,64,277.7585714,16
246,1892,2,83.24285714,16
247,1896,4,90.9542381,16
248,1895,8,117.2818095,16
249,1898,16,167.8097619,16
250,1900,32,276.9312381,16
251,1902,64,496.9858095,16
252,2836,2,95.26814286,16
253,2841,4,113.5711905,16
254,2843,8,153.7354762,16
255,2841,16,230.5729048,16
256,2839,32,391.4317619,16
257,2845,64,715.0454286,16
258,3792,2,110.7794286,16
259,3798,4,134.5231905,16
260,3788,8,191.1007619,16
261,3783,16,292.0247619,16
262,3791,32,508.8002857,16
263,3792,64,936.2022381,16
264,4739,2,125.8888095,16
265,4742,4,159.434,16
266,4744,8,227.7068571,16
267,4744,16,356.5670952,16
268,4746,32,623.4425714,16
269,4740,64,1158.28519,16
270,5697,2,142.6609048,16
271,5687,4,181.4743333,16
272,5690,8,265.3085238,16
273,5682,16,420.0952857,16
274,5691,32,735.7925238,16
275,5691,64,1371.029286,16
276,6653,2,155.7483333,16
277,6643,4,204.9070952,16
278,6648,8,301.2896667,16
279,6645,16,486.240381,16
280,6640,32,849.9720952,16
281,6643,64,1596.284095,16
282,7600,2,173.1544762,16
283,7602,4,229.291619,16
284,7598,8,339.1394286,16
285,7601,16,551.8897143,16
286,7602,32,974.4980952,16
287,7596,64,1814.043952,16
288,8560,2,188.288619,16
289,8550,4,250.2138095,16
290,8536,8,375.0804286,16
291,8541,16,614.0851429,16
292,8548,32,1083.033,16
293,8540,64,2035.846095,16
294,9488,2,206.6846667,16
295,9500,4,277.5622381,16
296,9497,8,414.8600952,16
297,9498,16,682.939619,16
298,9499,32,1203.019667,16
299,9505,64,2241.607905,16
300,957,2,58.92990909,32
301,953,4,61.21622727,32
302,953,8,66.41440909,32
303,959,16,77.71986364,32
304,953,32,106.7113182,32
305,951,64,169.4230455,32
306,1892,2,67.88004545,32
307,1896,4,70.11577273,32
308,1895,8,83.23427273,32
309,1898,16,107.7451818,32
310,1900,32,162.9985,32
311,1902,64,279.1187273,32
312,2836,2,73.23109091,32
313,2841,4,82.68854545,32
314,2843,8,101.6450909,32
315,2841,16,139.4436364,32
316,2839,32,221.5633636,32
317,2845,64,392.5055,32
318,3792,2,81.85454545,32
319,3798,4,94.59386364,32
320,3788,8,120.8729545,32
321,3783,16,171.9834091,32
322,3791,32,280.0870909,32
323,3792,64,504.5105,32
324,4739,2,90.11736364,32
325,4742,4,105.3478636,32
326,4744,8,139.517,32
327,4744,16,204.0660455,32
328,4746,32,340.516,32
329,4740,64,619.3542273,32
330,5697,2,97.64254545,32
331,5687,4,117.2555,32
332,5690,8,158.1610909,32
333,5682,16,235.9283636,32
334,5691,32,398.9343182,32
335,5691,64,733.9342727,32
336,6653,2,104.9268182,32
337,6643,4,128.6039545,32
338,6648,8,176.6012727,32
339,6645,16,269.2721364,32
340,6640,32,458.1492273,32
341,6643,64,846.1136818,32
342,7600,2,114.7712727,32
343,7602,4,141.5550455,32
344,7598,8,195.5088182,32
345,7601,16,302.5723182,32
346,7602,32,517.0235909,32
347,7596,64,956.0852273,32
348,8560,2,122.6325909,32
349,8550,4,152.4551818,32
350,8536,8,213.4638182,32
351,8541,16,333.1710455,32
352,8548,32,576.6372273,32
353,8540,64,1069.697682,32
354,9488,2,135.3947273,32
355,9500,4,164.6830455,32
356,9497,8,233.2028636,32
357,9498,16,365.6814545,32
358,9499,32,636.4961818,32
359,9505,64,1186.051409,32
360,957,2,60.62457895,64
361,953,4,62.04115789,64
362,953,8,67.44678947,64
363,959,16,78.709,64
364,953,32,108.5152105,64
365,951,64,172.77,64
366,1892,2,69.64821053,64
367,1896,4,71.20747368,64
368,1895,8,83.61231579,64
369,1898,16,109.1409474,64
370,1900,32,165.8098947,64
371,1902,64,286.8264211,64
372,2836,2,74.93668421,64
373,2841,4,84.04,64
374,2843,8,103.2480526,64
375,2841,16,141.8918421,64
376,2839,32,225.102,64
377,2845,64,401.6407895,64
378,3792,2,82.78721053,64
379,3798,4,96.58852632,64
380,3788,8,122.5992105,64
381,3783,16,174.8805263,64
382,3791,32,286.4756842,64
383,3792,64,518.0020526,64
384,4739,2,91.57815789,64
385,4742,4,107.9411579,64
386,4744,8,142.0375263,64
387,4744,16,209.1665263,64
388,4746,32,348.309,64
389,4740,64,635.3191579,64
390,5697,2,99.90868421,64
391,5687,4,119.3762632,64
392,5690,8,160.2484737,64
393,5682,16,241.1703158,64
394,5691,32,407.9973158,64
395,5691,64,752.6497368,64
396,6653,2,107.2856842,64
397,6643,4,131.9311053,64
398,6648,8,179.7975789,64
399,6645,16,273.5282632,64
400,6640,32,469.3333684,64
401,6643,64,869.7777368,64
402,7600,2,115.8761579,64
403,7602,4,143.6537368,64
404,7598,8,199.1648947,64
405,7601,16,308.85,64
406,7602,32,530.5257368,64
407,7596,64,984.2163684,64
408,8560,2,123.9698947,64
409,8550,4,155.2098947,64
410,8536,8,218.2300526,64
411,8541,16,341.5505789,64
412,8548,32,591.4682105,64
413,8540,64,1103.228105,64
414,9488,2,136.4813158,64
415,9500,4,168.742,64
416,9497,8,238.1151579,64
417,9498,16,375.3304211,64
418,9499,32,654.5079474,64
419,9505,64,1222.814789,64
420,957,2,58.6804,128
421,953,4,60.4266,128
422,953,8,66.20284,128
423,959,16,77.86,128
424,953,32,107.23872,128
425,951,64,170.19896,128
426,1892,2,68.27452,128
427,1896,4,70.76312,128
428,1895,8,83.22944,128
429,1898,16,108.19468,128
430,1900,32,165.14644,128
431,1902,64,284.45048,128
432,2836,2,73.8108,128
433,2841,4,82.97008,128
434,2843,8,102.54556,128
435,2841,16,141.30464,128
436,2839,32,225.33628,128
437,2845,64,402.6322,128
438,3792,2,82.27324,128
439,3798,4,95.84108,128
440,3788,8,121.90836,128
441,3783,16,174.4384,128
442,3791,32,286.12644,128
443,3792,64,518.03508,128
444,4739,2,91.57396,128
445,4742,4,107.77404,128
446,4744,8,141.1746,128
447,4744,16,207.65324,128
448,4746,32,346.92732,128
449,4740,64,635.8094,128
450,5697,2,99.01568,128
451,5687,4,119.05212,128
452,5690,8,160.5878,128
453,5682,16,240.19936,128
454,5691,32,408.29504,128
455,5691,64,752.1312,128
456,6653,2,107.70244,128
457,6643,4,131.43024,128
458,6648,8,179.7204,128
459,6645,16,273.68852,128
460,6640,32,469.11588,128
461,6643,64,869.03968,128
462,7600,2,116.30508,128
463,7602,4,143.06128,128
464,7598,8,198.09864,128
465,7601,16,307.49704,128
466,7602,32,530.28292,128
467,7596,64,985.0454,128
468,8560,2,123.84532,128
469,8550,4,154.84324,128
470,8536,8,218.23008,128
471,8541,16,340.53328,128
472,8548,32,591.65864,128
473,8540,64,1105.53576,128
474,9488,2,134.96796,128
475,9500,4,167.81972,128
476,9497,8,237.88608,128
477,9498,16,375.49808,128
478,9499,32,654.089,128
479,9505,64,1220.4474,128
480,957,2,59.73991304,160
481,953,4,61.50756522,160
482,953,8,67.38326087,160
483,959,16,78.20756522,160
484,953,32,108.395913,160
485,951,64,171.5717391,160
486,1892,2,68.41143478,160
487,1896,4,71.22295652,160
488,1895,8,84.08591304,160
489,1898,16,108.8843913,160
490,1900,32,166.0216957,160
491,1902,64,284.2024348,160
492,2836,2,73.65073913,160
493,2841,4,83.37947826,160
494,2843,8,103.4124348,160
495,2841,16,141.459087,160
496,2839,32,224.5413478,160
497,2845,64,399.8304348,160
498,3792,2,82.88008696,160
499,3798,4,96.71434783,160
500,3788,8,122.1604348,160
501,3783,16,175.3545652,160
502,3791,32,285.5576522,160
503,3792,64,515.4863913,160
504,4739,2,91.63452174,160
505,4742,4,108.0572174,160
506,4744,8,141.3615217,160
507,4744,16,208.3576087,160
508,4746,32,345.532,160
509,4740,64,631.5376522,160
510,5697,2,100.3553478,160
511,5687,4,118.6299565,160
512,5690,8,160.5395652,160
513,5682,16,240.2763913,160
514,5691,32,405.9335652,160
515,5691,64,747.3211304,160
516,6653,2,108.3277826,160
517,6643,4,131.2165652,160
518,6648,8,179.5754783,160
519,6645,16,273.6897391,160
520,6640,32,467.0637391,160
521,6643,64,864.6413478,160
522,7600,2,116.2660435,160
523,7602,4,144.795,160
524,7598,8,199.1174783,160
525,7601,16,307.5735652,160
526,7602,32,528.1493913,160
527,7596,64,979.4916957,160
528,8560,2,124.5945217,160
529,8550,4,155.3294783,160
530,8536,8,218.4565652,160
531,8541,16,340.2817391,160
532,8548,32,589.5503478,160
533,8540,64,1096.88613,160
534,9488,2,135.1378261,160
535,9500,4,169.172087,160
536,9497,8,238.2603913,160
537,9498,16,374.2122174,160
538,9499,32,649.7782609,160
539,9505,64,1214.968609,160
