,instance #,labels #,moea-time,soea-time,moea-sil,moea-ARI,moea-NMI,soea-sil,soea-ARI,soea-NMI,kmeans-sil,kmeasn-ARI,kmeans-NMI,phe-sil,phe-ARI,phe-NMI,seurat_sil,seurat-ARI,seurat-NMI,phe-clusters,seurat-clusters
5,9505,64,1015.898,878.94,0.45,0.423,0.618,0.412,0.39,0.605,0.489,0.453,0.62,0.468,0.375,0.619,0.436,0.294,0.608,39,31
0,9488,2,126.923,77.571,0.867,1.0,1.0,0.867,1.0,1.0,0.867,1.0,1.0,0.287,0.076,0.347,0.294,0.133,0.404,28,16
1,9500,4,152.801,103.597,0.879,1.0,1.0,0.879,1.0,1.0,0.879,1.0,1.0,0.295,0.206,0.588,0.305,0.339,0.66,29,18
2,9497,8,202.426,155.87,0.875,1.0,1.0,0.875,1.0,1.0,0.875,1.0,1.0,0.342,0.453,0.781,0.337,0.608,0.842,27,18
3,9498,16,312.736,254.707,0.848,0.959,0.968,0.849,0.963,0.97,0.849,0.963,0.97,0.572,0.812,0.913,0.849,0.964,0.97,24,16
4,9499,32,539.946,457.103,0.666,0.74,0.821,0.664,0.761,0.824,0.686,0.777,0.828,0.668,0.756,0.828,0.663,0.749,0.829,29,28
5,9505,64,999.015,861.111,0.436,0.418,0.616,0.407,0.394,0.612,0.49,0.455,0.621,0.461,0.374,0.619,0.436,0.294,0.608,39,31
0,9488,2,111.772,70.27,0.867,1.0,1.0,0.867,1.0,1.0,0.867,1.0,1.0,0.276,0.074,0.344,0.294,0.133,0.404,29,16
1,9500,4,136.085,92.952,0.879,1.0,1.0,0.879,1.0,1.0,0.879,1.0,1.0,0.298,0.213,0.592,0.305,0.339,0.66,28,18
2,9497,8,190.424,145.234,0.875,1.0,1.0,0.875,1.0,1.0,0.875,1.0,1.0,0.341,0.422,0.769,0.337,0.608,0.842,29,18
3,9498,16,291.495,241.845,0.848,0.923,0.959,0.849,0.963,0.97,0.849,0.963,0.97,0.67,0.879,0.934,0.849,0.964,0.97,21,16
4,9499,32,498.006,423.558,0.679,0.751,0.825,0.671,0.773,0.827,0.684,0.777,0.828,0.673,0.763,0.828,0.663,0.749,0.829,30,28
5,9505,64,908.068,780.631,0.459,0.429,0.618,0.401,0.386,0.606,0.491,0.454,0.62,0.466,0.378,0.617,0.436,0.294,0.608,40,31
0,9488,2,135.422,85.479,0.867,1.0,1.0,0.867,1.0,1.0,0.867,1.0,1.0,0.29,0.075,0.346,0.294,0.133,0.404,28,16
1,9500,4,165.186,114.891,0.879,1.0,1.0,0.879,1.0,1.0,0.879,1.0,1.0,0.283,0.2,0.584,0.305,0.339,0.66,30,18
2,9497,8,231.333,177.851,0.875,1.0,1.0,0.875,1.0,1.0,0.875,1.0,1.0,0.331,0.428,0.77,0.337,0.608,0.842,29,18
3,9498,16,359.886,294.771,0.846,0.92,0.956,0.849,0.963,0.97,0.849,0.963,0.97,0.566,0.818,0.914,0.849,0.964,0.97,24,16
4,9499,32,624.172,542.078,0.675,0.752,0.827,0.662,0.772,0.829,0.685,0.777,0.829,0.673,0.761,0.83,0.663,0.749,0.829,29,28
5,9505,64,1165.707,1018.5,0.402,0.376,0.61,0.41,0.383,0.611,0.48,0.447,0.619,0.448,0.358,0.615,0.436,0.294,0.608,38,31
0,9488,2,114.471,71.464,0.867,1.0,1.0,0.867,1.0,1.0,0.867,1.0,1.0,0.28,0.073,0.343,0.294,0.133,0.404,30,16
1,9500,4,138.506,96.273,0.879,1.0,1.0,0.879,1.0,1.0,0.879,1.0,1.0,0.303,0.212,0.592,0.305,0.339,0.66,28,18
2,9497,8,189.012,144.193,0.875,1.0,1.0,0.875,1.0,1.0,0.875,1.0,1.0,0.341,0.449,0.779,0.337,0.608,0.842,27,18
3,9498,16,290.605,236.62,0.847,0.922,0.958,0.849,0.964,0.97,0.849,0.963,0.97,0.58,0.818,0.913,0.849,0.964,0.97,24,16
4,9499,32,499.562,423.859,0.68,0.765,0.828,0.659,0.759,0.823,0.682,0.776,0.828,0.676,0.768,0.83,0.663,0.749,0.829,30,28
5,9505,64,925.892,802.066,0.452,0.422,0.617,0.399,0.4,0.61,0.484,0.451,0.62,0.464,0.378,0.619,0.436,0.294,0.608,39,31
0,9488,2,131.135,81.433,0.867,1.0,1.0,0.867,1.0,1.0,0.867,1.0,1.0,0.291,0.078,0.35,0.294,0.133,0.404,27,16
1,9500,4,163.508,108.865,0.879,1.0,1.0,0.879,1.0,1.0,0.879,1.0,1.0,0.297,0.213,0.592,0.305,0.339,0.66,28,18
2,9497,8,215.791,166.158,0.875,1.0,1.0,0.875,1.0,1.0,0.875,1.0,1.0,0.335,0.434,0.774,0.337,0.608,0.842,28,18
3,9498,16,332.023,275.438,0.846,0.92,0.957,0.815,0.907,0.952,0.849,0.963,0.97,0.672,0.872,0.933,0.849,0.964,0.97,21,16
4,9499,32,577.11,492.664,0.664,0.746,0.82,0.675,0.761,0.827,0.681,0.774,0.828,0.675,0.767,0.829,0.663,0.749,0.829,30,28
5,9505,64,1061.642,918.398,0.454,0.409,0.612,0.426,0.395,0.61,0.483,0.448,0.62,0.456,0.368,0.618,0.436,0.294,0.608,40,31
0,9488,2,126.968,80.371,0.867,1.0,1.0,0.867,1.0,1.0,0.867,1.0,1.0,0.266,0.073,0.342,0.294,0.133,0.404,30,16
1,9500,4,153.195,106.77,0.879,1.0,1.0,0.879,1.0,1.0,0.879,1.0,1.0,0.296,0.192,0.579,0.305,0.339,0.66,31,18
2,9497,8,213.86,160.183,0.875,1.0,1.0,0.875,1.0,1.0,0.875,1.0,1.0,0.342,0.444,0.778,0.337,0.608,0.842,27,18
3,9498,16,321.12,265.086,0.849,0.961,0.969,0.849,0.963,0.97,0.849,0.963,0.97,0.627,0.861,0.929,0.849,0.964,0.97,22,16
4,9499,32,558.321,478.762,0.679,0.754,0.827,0.679,0.767,0.826,0.683,0.776,0.828,0.675,0.768,0.83,0.663,0.749,0.829,30,28
5,9505,64,1039.933,901.575,0.457,0.43,0.617,0.423,0.392,0.603,0.485,0.452,0.621,0.462,0.37,0.617,0.436,0.294,0.608,39,31
0,9488,2,122.58,77.555,0.867,1.0,1.0,0.867,1.0,1.0,0.867,1.0,1.0,0.28,0.075,0.347,0.294,0.133,0.404,28,16
1,9500,4,151.962,103.926,0.879,1.0,1.0,0.879,1.0,1.0,0.879,1.0,1.0,0.297,0.202,0.587,0.305,0.339,0.66,29,18
2,9497,8,208.18,157.755,0.875,1.0,1.0,0.875,1.0,1.0,0.875,1.0,1.0,0.339,0.44,0.775,0.337,0.608,0.842,28,18
3,9498,16,318.334,255.229,0.845,0.919,0.956,0.849,0.963,0.97,0.849,0.963,0.97,0.611,0.842,0.921,0.849,0.964,0.97,23,16
4,9499,32,549.939,465.212,0.682,0.763,0.826,0.651,0.753,0.823,0.686,0.776,0.828,0.674,0.757,0.829,0.663,0.749,0.829,29,28
5,9505,64,1020.228,881.225,0.451,0.421,0.613,0.408,0.389,0.6,0.484,0.447,0.62,0.456,0.373,0.614,0.436,0.294,0.608,40,31
0,9488,2,124.994,77.696,0.867,1.0,1.0,0.867,1.0,1.0,0.867,1.0,1.0,0.284,0.072,0.342,0.294,0.133,0.404,30,16
1,9500,4,150.596,104.754,0.879,1.0,1.0,0.879,1.0,1.0,0.879,1.0,1.0,0.299,0.207,0.588,0.305,0.339,0.66,29,18
2,9497,8,208.662,156.601,0.875,1.0,1.0,0.875,1.0,1.0,0.875,1.0,1.0,0.335,0.434,0.774,0.337,0.608,0.842,28,18
3,9498,16,319.129,257.279,0.848,0.961,0.969,0.814,0.907,0.952,0.849,0.963,0.97,0.668,0.876,0.934,0.849,0.964,0.97,21,16
4,9499,32,546.813,463.89,0.66,0.736,0.819,0.681,0.771,0.828,0.686,0.776,0.829,0.671,0.756,0.828,0.663,0.749,0.829,29,28
5,9505,64,1014.387,877.082,0.451,0.424,0.614,0.394,0.388,0.608,0.487,0.451,0.621,0.467,0.37,0.618,0.436,0.294,0.608,39,31
0,9488,2,141.529,96.98,0.867,1.0,1.0,0.867,1.0,1.0,0.867,1.0,1.0,0.263,0.077,0.346,0.294,0.133,0.404,29,16
1,9500,4,184.982,134.955,0.879,1.0,1.0,0.879,1.0,1.0,0.879,1.0,1.0,0.298,0.209,0.591,0.305,0.339,0.66,28,18
2,9497,8,265.189,206.355,0.875,1.0,1.0,0.875,1.0,1.0,0.875,1.0,1.0,0.348,0.458,0.784,0.337,0.608,0.842,26,18
3,9498,16,404.566,331.372,0.848,0.961,0.969,0.849,0.963,0.97,0.849,0.963,0.97,0.636,0.859,0.927,0.849,0.964,0.97,22,16
4,9499,32,693.857,601.805,0.679,0.77,0.828,0.667,0.762,0.822,0.685,0.776,0.828,0.679,0.77,0.831,0.663,0.749,0.829,30,28
5,9505,64,1301.847,1144.418,0.447,0.425,0.616,0.429,0.401,0.611,0.488,0.457,0.622,0.457,0.371,0.616,0.436,0.294,0.608,39,31
0,9488,2,113.357,69.824,0.867,1.0,1.0,0.867,1.0,1.0,0.867,1.0,1.0,0.278,0.078,0.349,0.294,0.133,0.404,28,16
1,9500,4,138.219,92.037,0.879,1.0,1.0,0.879,1.0,1.0,0.879,1.0,1.0,0.298,0.211,0.592,0.305,0.339,0.66,28,18
2,9497,8,184.9,140.887,0.875,1.0,1.0,0.875,1.0,1.0,0.875,1.0,1.0,0.346,0.434,0.774,0.337,0.608,0.842,28,18
3,9498,16,281.778,230.952,0.848,0.961,0.969,0.849,0.964,0.97,0.849,0.963,0.97,0.549,0.808,0.909,0.849,0.964,0.97,25,16
4,9499,32,487.811,417.416,0.68,0.762,0.826,0.67,0.765,0.827,0.679,0.773,0.827,0.671,0.768,0.831,0.663,0.749,0.829,30,28
5,9505,64,915.926,794.933,0.433,0.404,0.61,0.405,0.385,0.606,0.484,0.451,0.62,0.463,0.372,0.616,0.436,0.294,0.608,39,31
0,9488,2,116.085,70.982,0.867,1.0,1.0,0.867,1.0,1.0,0.867,1.0,1.0,0.265,0.07,0.34,0.294,0.133,0.404,31,16
1,9500,4,137.394,95.636,0.879,1.0,1.0,0.879,1.0,1.0,0.879,1.0,1.0,0.293,0.203,0.585,0.305,0.339,0.66,30,18
2,9497,8,187.533,145.254,0.875,1.0,1.0,0.875,1.0,1.0,0.875,1.0,1.0,0.35,0.453,0.783,0.337,0.608,0.842,26,18
3,9498,16,295.648,239.031,0.849,0.961,0.969,0.849,0.963,0.97,0.849,0.963,0.97,0.582,0.812,0.912,0.849,0.964,0.97,24,16
4,9499,32,503.942,428.943,0.678,0.761,0.826,0.664,0.754,0.825,0.684,0.777,0.828,0.67,0.754,0.827,0.663,0.749,0.829,29,28
5,9505,64,932.456,808.76,0.439,0.418,0.618,0.42,0.395,0.606,0.488,0.451,0.619,0.452,0.358,0.617,0.436,0.294,0.608,38,31
0,9488,2,112.916,70.952,0.867,1.0,1.0,0.867,1.0,1.0,0.867,1.0,1.0,0.294,0.071,0.341,0.294,0.133,0.404,30,16
1,9500,4,139.519,95.691,0.879,1.0,1.0,0.879,1.0,1.0,0.879,1.0,1.0,0.304,0.216,0.593,0.305,0.339,0.66,28,18
2,9497,8,189.409,142.122,0.875,1.0,1.0,0.875,1.0,1.0,0.875,1.0,1.0,0.338,0.441,0.777,0.337,0.608,0.842,27,18
3,9498,16,291.401,236.717,0.849,0.923,0.959,0.849,0.963,0.97,0.849,0.963,0.97,0.586,0.817,0.913,0.849,0.964,0.97,24,16
4,9499,32,500.234,424.178,0.628,0.657,0.801,0.657,0.763,0.825,0.678,0.773,0.827,0.669,0.761,0.83,0.663,0.749,0.829,29,28
5,9505,64,926.815,797.802,0.467,0.427,0.615,0.427,0.406,0.609,0.495,0.458,0.621,0.464,0.379,0.617,0.436,0.294,0.608,39,31
0,9488,2,129.272,79.487,0.867,1.0,1.0,0.867,1.0,1.0,0.867,1.0,1.0,0.282,0.079,0.35,0.294,0.133,0.404,27,16
1,9500,4,154.954,105.525,0.879,1.0,1.0,0.879,1.0,1.0,0.879,1.0,1.0,0.293,0.201,0.584,0.305,0.339,0.66,30,18
2,9497,8,213.963,161.125,0.875,1.0,1.0,0.875,1.0,1.0,0.875,1.0,1.0,0.346,0.441,0.777,0.337,0.608,0.842,27,18
3,9498,16,326.142,265.525,0.848,0.962,0.969,0.849,0.963,0.97,0.849,0.963,0.97,0.669,0.877,0.934,0.849,0.964,0.97,21,16
4,9499,32,559.402,475.491,0.669,0.74,0.823,0.667,0.767,0.824,0.678,0.773,0.827,0.675,0.768,0.83,0.663,0.749,0.829,30,28
5,9505,64,1036.39,893.339,0.451,0.429,0.616,0.365,0.371,0.603,0.486,0.452,0.621,0.453,0.364,0.615,0.436,0.294,0.608,39,31
0,9488,2,129.048,79.057,0.867,1.0,1.0,0.867,1.0,1.0,0.867,1.0,1.0,0.293,0.073,0.344,0.294,0.133,0.404,29,16
1,9500,4,155.097,103.915,0.879,1.0,1.0,0.879,1.0,1.0,0.879,1.0,1.0,0.292,0.195,0.58,0.305,0.339,0.66,31,18
2,9497,8,205.953,156.439,0.875,1.0,1.0,0.875,1.0,1.0,0.875,1.0,1.0,0.33,0.44,0.775,0.337,0.608,0.842,28,18
3,9498,16,316.089,257.215,0.846,0.92,0.956,0.849,0.963,0.97,0.849,0.963,0.97,0.601,0.838,0.921,0.849,0.964,0.97,23,16
4,9499,32,546.765,462.429,0.684,0.773,0.829,0.684,0.765,0.828,0.685,0.776,0.828,0.674,0.761,0.83,0.663,0.749,0.829,29,28
5,9505,64,1020.608,879.385,0.444,0.416,0.614,0.394,0.394,0.607,0.484,0.451,0.618,0.463,0.372,0.618,0.436,0.294,0.608,39,31
0,9488,2,124.655,80.415,0.867,1.0,1.0,0.867,1.0,1.0,0.867,1.0,1.0,0.293,0.075,0.345,0.294,0.133,0.404,29,16
1,9500,4,159.125,106.451,0.879,1.0,1.0,0.879,1.0,1.0,0.879,1.0,1.0,0.295,0.214,0.593,0.305,0.339,0.66,28,18
2,9497,8,218.734,162.172,0.875,1.0,1.0,0.875,1.0,1.0,0.875,1.0,1.0,0.327,0.436,0.774,0.337,0.608,0.842,28,18
3,9498,16,328.123,269.521,0.849,0.962,0.969,0.849,0.963,0.97,0.849,0.963,0.97,0.606,0.837,0.92,0.849,0.964,0.97,23,16
4,9499,32,564.883,482.636,0.635,0.687,0.811,0.671,0.768,0.826,0.685,0.777,0.829,0.676,0.768,0.829,0.663,0.749,0.829,30,28
5,9505,64,1023.525,888.2,0.442,0.419,0.615,0.423,0.408,0.611,0.488,0.456,0.621,0.445,0.362,0.616,0.436,0.294,0.608,39,31
0,9488,2,124.676,78.578,0.867,1.0,1.0,0.867,1.0,1.0,0.867,1.0,1.0,0.289,0.078,0.349,0.294,0.133,0.404,28,16
1,9500,4,156.487,105.783,0.879,1.0,1.0,0.879,1.0,1.0,0.879,1.0,1.0,0.296,0.203,0.585,0.305,0.339,0.66,30,18
2,9497,8,210.113,156.162,0.875,1.0,1.0,0.875,1.0,1.0,0.875,1.0,1.0,0.349,0.453,0.783,0.337,0.608,0.842,26,18
3,9498,16,313.593,260.644,0.849,0.961,0.969,0.849,0.963,0.97,0.849,0.963,0.97,0.583,0.815,0.913,0.849,0.964,0.97,24,16
4,9499,32,558.743,469.18,0.678,0.743,0.825,0.665,0.759,0.822,0.681,0.773,0.827,0.672,0.765,0.828,0.663,0.749,0.829,30,28
5,9505,64,1014.986,879.252,0.444,0.424,0.616,0.388,0.377,0.605,0.487,0.453,0.618,0.463,0.375,0.618,0.436,0.294,0.608,40,31
0,9488,2,129.335,76.764,0.867,1.0,1.0,0.867,1.0,1.0,0.867,1.0,1.0,0.288,0.07,0.341,0.294,0.133,0.404,30,16
1,9500,4,155.125,105.592,0.879,1.0,1.0,0.879,1.0,1.0,0.879,1.0,1.0,0.296,0.208,0.59,0.305,0.339,0.66,28,18
2,9497,8,214.4,159.846,0.875,1.0,1.0,0.875,1.0,1.0,0.875,1.0,1.0,0.346,0.436,0.774,0.337,0.608,0.842,28,18
3,9498,16,322.653,266.68,0.843,0.917,0.954,0.849,0.962,0.969,0.849,0.963,0.97,0.581,0.819,0.913,0.849,0.964,0.97,24,16
4,9499,32,558.709,482.375,0.664,0.757,0.826,0.646,0.751,0.82,0.685,0.776,0.828,0.673,0.764,0.829,0.663,0.749,0.829,30,28
5,9505,64,1041.969,890.631,0.455,0.427,0.617,0.396,0.375,0.606,0.487,0.452,0.619,0.462,0.374,0.615,0.436,0.294,0.608,39,31
0,9488,2,133.882,82.873,0.867,1.0,1.0,0.867,1.0,1.0,0.867,1.0,1.0,0.289,0.076,0.347,0.294,0.133,0.404,28,16
1,9500,4,161.301,115.201,0.879,1.0,1.0,0.879,1.0,1.0,0.879,1.0,1.0,0.296,0.202,0.586,0.305,0.339,0.66,29,18
2,9497,8,222.967,175.67,0.875,1.0,1.0,0.875,1.0,1.0,0.875,1.0,1.0,0.342,0.44,0.777,0.337,0.608,0.842,27,18
3,9498,16,341.764,287.434,0.849,0.961,0.969,0.849,0.963,0.97,0.849,0.963,0.97,0.599,0.838,0.92,0.849,0.964,0.97,23,16
4,9499,32,603.195,512.916,0.676,0.764,0.826,0.667,0.762,0.824,0.684,0.776,0.828,0.672,0.767,0.829,0.663,0.749,0.829,30,28
5,9505,64,1128.349,1010.721,0.424,0.394,0.615,0.381,0.376,0.606,0.49,0.457,0.62,0.45,0.362,0.619,0.436,0.294,0.608,38,31
0,9488,2,132.86,83.328,0.867,1.0,1.0,0.867,1.0,1.0,0.867,1.0,1.0,0.274,0.074,0.344,0.294,0.133,0.404,30,16
1,9500,4,157.87,111.625,0.879,1.0,1.0,0.879,1.0,1.0,0.879,1.0,1.0,0.292,0.209,0.589,0.305,0.339,0.66,29,18
2,9497,8,216.758,169.528,0.875,1.0,1.0,0.875,1.0,1.0,0.875,1.0,1.0,0.336,0.422,0.768,0.337,0.608,0.842,29,18
3,9498,16,336.362,279.04,0.848,0.923,0.959,0.849,0.964,0.97,0.849,0.963,0.97,0.575,0.811,0.913,0.849,0.964,0.97,24,16
4,9499,32,593.643,510.508,0.685,0.763,0.827,0.664,0.758,0.823,0.685,0.776,0.828,0.672,0.759,0.828,0.663,0.749,0.829,29,28
5,9505,64,1057.476,929.808,0.43,0.422,0.616,0.391,0.386,0.61,0.488,0.455,0.621,0.465,0.374,0.613,0.436,0.294,0.608,39,31
0,9488,2,118.11,70.631,0.867,1.0,1.0,0.867,1.0,1.0,0.867,1.0,1.0,0.275,0.079,0.349,0.294,0.133,0.404,28,16
1,9500,4,136.385,95.218,0.879,1.0,1.0,0.879,1.0,1.0,0.879,1.0,1.0,0.316,0.218,0.596,0.305,0.339,0.66,27,18
2,9497,8,190.006,143.398,0.875,1.0,1.0,0.875,1.0,1.0,0.875,1.0,1.0,0.337,0.437,0.774,0.337,0.608,0.842,28,18
3,9498,16,292.149,234.34,0.849,0.924,0.96,0.849,0.963,0.97,0.849,0.963,0.97,0.637,0.856,0.927,0.849,0.964,0.97,22,16
4,9499,32,503.764,424.59,0.675,0.759,0.826,0.655,0.758,0.823,0.685,0.777,0.829,0.676,0.769,0.831,0.663,0.749,0.829,30,28
5,9505,64,931.886,799.189,0.439,0.426,0.613,0.406,0.393,0.608,0.479,0.447,0.621,0.472,0.377,0.619,0.436,0.294,0.608,40,31
0,9488,2,111.971,71.701,0.867,1.0,1.0,0.867,1.0,1.0,0.867,1.0,1.0,0.307,0.075,0.347,0.294,0.133,0.404,28,16
1,9500,4,138.804,95.479,0.879,1.0,1.0,0.879,1.0,1.0,0.879,1.0,1.0,0.274,0.197,0.581,0.305,0.339,0.66,31,18
2,9497,8,187.899,143.806,0.875,1.0,1.0,0.875,1.0,1.0,0.875,1.0,1.0,0.34,0.431,0.773,0.337,0.608,0.842,28,18
3,9498,16,290.844,241.349,0.846,0.92,0.956,0.849,0.963,0.97,0.849,0.963,0.97,0.582,0.821,0.914,0.849,0.964,0.97,24,16
4,9499,32,499.647,428.714,0.679,0.764,0.827,0.647,0.745,0.82,0.675,0.77,0.827,0.673,0.767,0.83,0.663,0.749,0.829,30,28
5,9505,64,927.686,809.8,0.437,0.416,0.614,0.403,0.394,0.609,0.487,0.453,0.62,0.459,0.375,0.619,0.436,0.294,0.608,40,31
0,9488,2,116.549,72.801,0.867,1.0,1.0,0.867,1.0,1.0,0.867,1.0,1.0,0.293,0.075,0.347,0.294,0.133,0.404,28,16
1,9500,4,142.287,95.965,0.879,1.0,1.0,0.879,1.0,1.0,0.879,1.0,1.0,0.298,0.213,0.59,0.305,0.339,0.66,29,18
2,9497,8,195.398,145.632,0.875,1.0,1.0,0.875,1.0,1.0,0.875,1.0,1.0,0.336,0.447,0.779,0.337,0.608,0.842,27,18
3,9498,16,299.004,241.397,0.841,0.918,0.954,0.849,0.963,0.97,0.849,0.963,0.97,0.585,0.814,0.912,0.849,0.964,0.97,24,16
4,9499,32,516.3,435.633,0.671,0.757,0.824,0.669,0.762,0.822,0.683,0.777,0.829,0.677,0.769,0.83,0.663,0.749,0.829,30,28
5,9505,64,953.193,829.03,0.432,0.401,0.618,0.423,0.391,0.616,0.484,0.454,0.622,0.465,0.378,0.619,0.436,0.294,0.608,40,31
0,9488,2,123.93,78.043,0.867,1.0,1.0,0.867,1.0,1.0,0.867,1.0,1.0,0.283,0.076,0.347,0.294,0.133,0.404,28,16
1,9500,4,150.057,103.142,0.879,1.0,1.0,0.879,1.0,1.0,0.879,1.0,1.0,0.312,0.218,0.596,0.305,0.339,0.66,27,18
2,9497,8,207.215,156.21,0.875,1.0,1.0,0.875,1.0,1.0,0.875,1.0,1.0,0.34,0.447,0.779,0.337,0.608,0.842,27,18
3,9498,16,315.85,257.856,0.85,0.925,0.961,0.849,0.963,0.97,0.849,0.963,0.97,0.622,0.842,0.921,0.849,0.964,0.97,23,16
4,9499,32,550.978,464.288,0.681,0.765,0.828,0.651,0.755,0.823,0.677,0.77,0.826,0.676,0.768,0.83,0.663,0.749,0.829,30,28
5,9505,64,1024.732,875.027,0.435,0.384,0.611,0.415,0.395,0.61,0.486,0.453,0.621,0.458,0.377,0.614,0.436,0.294,0.608,40,31
0,9488,2,455.963,278.214,0.867,1.0,1.0,0.867,1.0,1.0,0.867,1.0,1.0,0.288,0.075,0.347,0.294,0.133,0.404,28,16
1,9500,4,545.202,386.276,0.879,1.0,1.0,0.879,1.0,1.0,0.879,1.0,1.0,0.294,0.21,0.591,0.305,0.339,0.66,28,18
2,9497,8,754.837,585.984,0.875,1.0,1.0,0.875,1.0,1.0,0.875,1.0,1.0,0.346,0.433,0.774,0.337,0.608,0.842,28,18
3,9498,16,1143.174,961.071,0.848,0.961,0.969,0.849,0.963,0.97,0.849,0.963,0.97,0.634,0.858,0.927,0.849,0.964,0.97,22,16
4,9499,32,1921.234,1692.067,0.664,0.739,0.821,0.659,0.759,0.825,0.684,0.776,0.828,0.678,0.77,0.831,0.663,0.749,0.829,30,28
5,9505,64,3553.776,2954.59,0.461,0.435,0.616,0.413,0.407,0.611,0.49,0.453,0.619,0.462,0.373,0.619,0.436,0.294,0.608,39,31
