,ID,did,seurat_cluster,kmeans_cluster,labels,MOEA,SOEA,PhenoGraph
177,Cell195,1,3,12,16,2,7,17
178,Cell196,1,14,8,1,9,8,8
179,Cell197,1,1,9,10,15,4,16
180,Cell198,1,6,6,12,5,14,2
181,Cell199,1,12,14,11,14,3,5
182,Cell200,1,8,10,4,7,9,13
183,Cell201,1,9,6,14,4,0,14
184,Cell202,1,11,14,7,3,5,4
185,Cell203,1,8,10,4,7,9,19
186,Cell204,1,5,3,5,11,10,9
187,Cell205,1,9,6,14,4,0,18
188,Cell206,1,15,5,8,0,15,7
189,Cell207,1,7,4,3,1,2,10
190,Cell208,1,5,3,5,11,10,9
191,Cell209,1,2,2,15,13,6,0
192,Cell210,1,4,9,13,6,13,1
193,Cell212,1,15,13,8,0,15,7
194,Cell213,1,11,14,7,3,5,4
195,Cell214,1,9,6,14,4,0,18
196,Cell215,1,4,9,6,6,13,1
197,Cell216,1,12,14,11,14,3,5
198,Cell217,1,6,6,12,5,14,2
199,Cell218,1,2,15,15,13,6,0
200,Cell219,1,5,3,5,11,10,9
201,Cell220,1,14,8,1,9,8,8
202,Cell221,1,15,5,8,0,15,7
203,Cell222,1,11,14,6,3,5,4
204,Cell223,1,15,5,8,0,15,7
205,Cell224,1,3,12,16,2,7,17
206,Cell225,1,10,7,2,10,1,3
207,Cell226,1,1,9,10,15,4,12
208,Cell227,1,5,3,5,11,10,9
209,Cell228,1,6,6,12,5,14,2
210,Cell229,1,8,10,4,7,9,13
211,Cell230,1,7,4,3,1,2,21
212,Cell231,1,10,7,2,10,1,3
213,Cell232,1,4,9,13,6,13,1
214,Cell233,1,15,13,8,0,15,7
215,Cell235,1,2,15,15,13,6,0
216,Cell236,1,7,4,3,1,2,21
217,Cell237,1,15,13,8,0,15,7
218,Cell238,1,2,1,15,13,6,0
219,Cell239,1,10,7,2,10,1,3
220,Cell240,1,2,15,15,13,6,0
221,Cell241,1,16,9,6,8,12,11
222,Cell242,1,11,14,7,3,5,4
223,Cell243,1,12,14,11,14,3,5
224,Cell244,1,11,14,7,3,5,4
225,Cell246,1,10,7,2,10,1,3
226,Cell247,1,6,6,12,5,14,2
227,Cell248,1,7,4,3,1,2,10
228,Cell249,1,16,8,6,8,12,11
229,Cell250,1,2,2,15,13,6,0
230,Cell251,1,5,3,5,11,10,20
231,Cell252,1,2,1,15,13,6,0
232,Cell253,1,9,6,14,4,0,18
233,Cell254,1,12,14,11,14,3,5
234,Cell255,1,8,10,4,7,9,13
235,Cell256,1,15,5,8,0,15,7
236,Cell257,1,11,14,7,3,5,4
237,Cell258,1,11,14,7,3,5,4
238,Cell259,1,4,9,13,6,13,1
239,Cell260,1,5,3,5,11,10,20
240,Cell261,1,15,13,8,0,15,7
241,Cell262,1,4,9,13,6,13,1
242,Cell263,1,4,9,13,6,13,1
243,Cell264,1,3,12,16,2,7,15
244,Cell266,1,9,6,14,4,0,14
245,Cell267,1,15,13,8,0,15,7
246,Cell268,1,3,12,16,2,7,17
247,Cell269,1,15,13,8,0,15,7
248,Cell270,1,13,16,9,12,11,6
249,Cell271,1,13,16,9,12,11,6
250,Cell272,1,6,6,12,5,14,2
251,Cell273,1,5,3,5,11,10,9
252,Cell274,1,9,6,14,4,0,18
253,Cell275,1,13,16,9,12,11,6
254,Cell276,1,15,13,8,0,15,7
255,Cell277,1,3,12,16,2,7,15
256,Cell278,1,4,9,13,6,13,1
257,Cell279,1,16,9,13,8,12,11
258,Cell280,1,2,1,15,13,6,0
259,Cell281,1,12,14,11,14,3,5
260,Cell282,1,11,14,7,3,5,4
261,Cell283,1,1,9,10,15,4,16
262,Cell285,1,6,6,12,5,14,2
263,Cell286,1,14,8,1,9,8,8
264,Cell287,1,9,6,14,4,0,18
265,Cell288,1,16,9,6,8,12,11
266,Cell289,1,6,6,12,5,14,2
267,Cell290,1,14,8,1,9,8,8
268,Cell291,1,6,6,12,5,14,2
269,Cell292,1,6,6,12,5,14,2
270,Cell294,1,9,6,14,4,0,14
271,Cell295,1,6,6,12,5,14,2
272,Cell297,1,8,10,4,7,9,19
273,Cell299,1,8,10,4,7,9,19
274,Cell300,1,15,5,8,0,15,7
275,Cell301,1,14,8,1,9,8,8
276,Cell302,1,5,3,5,11,10,9
277,Cell303,1,16,9,6,6,13,11
278,Cell304,1,7,4,3,1,2,10
279,Cell305,1,5,3,5,11,10,20
280,Cell306,1,4,9,13,6,13,1
281,Cell307,1,9,6,14,4,0,18
282,Cell308,1,14,8,1,9,8,8
283,Cell309,1,6,6,12,5,14,2
284,Cell310,1,12,14,11,14,3,5
285,Cell311,1,10,7,2,10,1,3
286,Cell312,1,3,12,16,2,7,15
287,Cell313,1,4,9,13,6,13,1
288,Cell314,1,11,14,7,3,5,4
289,Cell315,1,4,9,13,6,13,1
290,Cell316,1,10,7,2,10,1,3
291,Cell317,1,4,9,13,6,13,1
292,Cell318,1,6,6,12,5,14,2
293,Cell319,1,13,11,9,12,11,6
294,Cell320,1,9,6,14,4,0,14
295,Cell321,1,5,3,5,11,10,9
296,Cell322,1,14,8,1,9,8,8
297,Cell323,1,14,8,1,9,8,8
298,Cell324,1,4,9,13,6,13,1
299,Cell325,1,2,2,15,13,6,0
300,Cell326,1,14,8,1,9,8,8
301,Cell327,1,3,12,16,2,7,15
302,Cell328,1,14,8,1,9,8,8
303,Cell329,1,5,3,5,11,10,20
304,Cell330,1,1,9,10,15,4,12
305,Cell331,1,14,8,1,9,8,8
306,Cell332,1,4,9,13,6,13,1
307,Cell333,1,3,12,16,2,7,15
308,Cell334,1,4,9,13,6,13,1
309,Cell335,1,12,14,11,14,3,5
310,Cell336,1,9,6,14,4,0,14
311,Cell337,1,3,12,16,2,7,15
312,Cell338,1,2,2,15,13,6,0
313,Cell339,1,15,5,8,0,15,7
314,Cell340,1,14,8,1,9,8,8
315,Cell341,1,3,12,16,2,7,17
316,Cell342,1,15,5,8,0,15,7
317,Cell343,1,4,9,13,6,13,1
318,Cell344,1,15,5,8,0,15,7
319,Cell345,1,9,6,14,4,0,18
320,Cell346,1,6,6,12,5,14,2
321,Cell347,1,12,14,11,14,3,5
322,Cell348,1,9,6,14,4,0,18
323,Cell349,1,9,6,14,4,0,14
324,Cell350,1,2,15,15,13,6,0
325,Cell351,1,9,6,14,4,0,14
326,Cell353,1,2,2,15,13,6,0
327,Cell354,1,11,14,7,3,5,4
328,Cell355,1,3,12,16,2,7,17
329,Cell356,1,9,6,14,4,0,14
330,Cell357,1,1,9,10,15,4,16
331,Cell358,1,11,14,7,3,5,4
332,Cell359,1,8,10,4,7,9,19
333,Cell360,1,6,6,12,5,14,2
334,Cell361,1,8,10,4,7,9,13
335,Cell362,1,11,14,7,3,5,4
336,Cell363,1,2,15,15,13,6,0
337,Cell364,1,4,9,13,6,13,1
338,Cell365,1,2,15,15,13,6,0
339,Cell366,1,3,12,16,2,7,15
340,Cell367,1,5,3,5,11,10,20
341,Cell368,1,1,9,6,15,4,12
342,Cell369,1,6,6,12,5,14,2
343,Cell370,1,11,14,7,3,5,4
344,Cell371,1,5,3,5,11,10,20
345,Cell372,1,7,4,3,1,2,10
346,Cell373,1,11,14,7,3,5,4
347,Cell374,1,5,3,5,11,10,9
348,Cell375,1,1,9,6,15,4,16
349,Cell376,1,16,9,13,8,12,11
350,Cell377,1,6,6,12,5,14,2
351,Cell378,1,6,6,6,5,14,2
352,Cell379,1,1,9,10,15,4,16
353,Cell380,1,15,5,8,0,15,7
354,Cell381,1,3,12,16,2,7,17
355,Cell382,1,13,11,6,12,11,6
356,Cell383,1,12,14,11,14,3,5
357,Cell384,1,9,6,14,4,0,18
358,Cell385,1,7,4,3,1,2,10
359,Cell386,1,5,3,5,11,10,20
360,Cell387,1,9,6,14,4,0,18
361,Cell388,1,11,14,7,3,5,4
362,Cell389,1,1,9,10,15,4,12
363,Cell391,1,13,11,9,12,11,6
364,Cell392,1,8,10,4,7,9,13
365,Cell393,1,8,10,4,7,9,13
366,Cell394,1,10,7,2,10,1,3
367,Cell395,1,13,16,9,12,11,6
368,Cell396,1,3,12,16,2,7,17
369,Cell397,1,12,14,6,14,3,5
370,Cell398,1,2,2,15,13,6,0
371,Cell399,1,6,6,12,5,14,2
372,Cell400,1,11,14,7,3,5,4
373,Cell401,1,3,12,16,2,7,15
374,Cell402,1,16,9,6,8,12,11
375,Cell403,1,15,13,8,0,15,7
376,Cell404,1,1,9,6,15,4,16
377,Cell405,1,7,4,3,1,2,10
378,Cell406,1,1,9,6,15,4,16
379,Cell407,1,12,14,11,14,3,5
380,Cell408,1,3,12,16,2,7,15
381,Cell409,1,7,4,3,1,2,10
382,Cell410,1,8,10,4,7,9,19
383,Cell411,1,6,6,12,5,14,2
384,Cell412,1,3,12,16,2,7,17
385,Cell413,1,5,3,5,11,10,20
386,Cell414,1,13,16,9,12,11,6
387,Cell415,1,8,10,4,7,9,13
388,Cell416,1,11,14,7,3,5,4
389,Cell417,1,4,9,13,6,13,1
390,Cell418,1,9,6,14,4,0,18
391,Cell419,1,3,12,16,2,7,15
392,Cell420,1,3,12,16,2,7,15
393,Cell421,1,4,9,13,6,13,1
394,Cell422,1,13,16,9,12,11,6
395,Cell423,1,8,10,4,7,9,13
396,Cell424,1,8,10,4,7,9,13
397,Cell425,1,3,12,16,2,7,15
398,Cell426,1,8,10,4,7,9,19
399,Cell427,1,9,6,14,4,0,14
400,Cell428,1,13,16,9,12,11,6
401,Cell429,1,7,4,3,1,2,10
402,Cell430,1,2,15,15,13,6,0
403,Cell431,1,7,4,3,1,2,10
404,Cell432,1,7,4,3,1,2,10
405,Cell433,1,11,14,7,3,5,4
406,Cell434,1,4,9,13,6,13,1
407,Cell436,1,6,6,12,5,14,2
408,Cell437,1,15,5,6,0,15,7
409,Cell438,1,3,12,16,2,7,15
410,Cell439,1,1,9,10,15,4,16
411,Cell440,1,4,9,13,6,13,1
412,Cell441,1,14,8,1,9,8,8
413,Cell442,1,8,10,4,7,9,13
414,Cell443,1,5,3,5,11,10,9
415,Cell444,1,5,3,5,11,10,20
416,Cell445,1,5,3,5,11,10,9
417,Cell446,1,14,8,1,9,8,8
418,Cell447,1,9,6,14,4,0,14
419,Cell448,1,9,6,14,4,0,18
420,Cell449,1,15,13,8,0,15,7
421,Cell450,1,2,15,15,13,6,0
422,Cell451,1,8,10,4,7,9,19
423,Cell452,1,9,6,14,4,0,18
424,Cell453,1,14,8,1,9,8,8
425,Cell454,1,14,8,1,9,8,8
426,Cell455,1,9,6,14,4,0,14
427,Cell456,1,14,8,1,9,8,8
428,Cell457,1,11,14,7,3,5,4
429,Cell458,1,12,14,11,14,3,5
430,Cell459,1,7,4,3,1,2,21
431,Cell460,1,8,10,4,7,9,19
432,Cell461,1,4,9,13,6,13,1
433,Cell462,1,15,13,8,0,15,7
434,Cell463,1,14,8,1,9,8,8
435,Cell464,1,5,3,5,11,10,9
436,Cell465,1,5,3,5,11,10,9
437,Cell466,1,3,12,16,2,7,15
438,Cell467,1,5,3,5,11,10,20
439,Cell468,1,3,12,16,2,7,17
440,Cell469,1,12,14,11,14,3,5
441,Cell470,1,3,12,16,2,7,17
442,Cell471,1,12,14,11,14,3,5
443,Cell472,1,7,4,3,1,2,21
444,Cell473,1,5,3,5,11,10,9
445,Cell474,1,5,3,5,11,10,9
446,Cell475,1,10,7,2,10,1,3
447,Cell476,1,11,14,7,3,5,4
448,Cell477,1,6,6,12,5,14,2
449,Cell478,1,13,16,9,12,11,6
450,Cell479,1,4,9,13,6,13,1
451,Cell480,1,6,6,12,5,14,2
452,Cell481,1,8,10,4,7,9,19
453,Cell482,1,13,16,9,12,11,6
454,Cell483,1,1,9,10,15,4,16
455,Cell484,1,6,6,12,5,14,2
456,Cell485,1,13,16,9,12,11,6
457,Cell486,1,3,12,16,2,7,15
458,Cell487,1,9,6,14,4,0,14
459,Cell488,1,2,15,15,13,6,0
460,Cell489,1,13,16,9,12,11,6
461,Cell490,1,9,6,14,4,0,14
462,Cell491,1,3,12,16,2,7,15
463,Cell492,1,12,14,11,14,3,5
464,Cell493,1,11,14,7,3,5,4
465,Cell494,1,1,9,10,15,4,16
466,Cell495,1,12,14,11,14,3,5
467,Cell496,1,8,10,4,7,9,19
468,Cell497,1,2,15,15,13,6,0
469,Cell498,1,8,10,4,7,9,19
470,Cell499,1,14,8,1,9,8,8
471,Cell500,1,16,9,6,8,12,11
472,Cell501,1,4,9,6,6,13,1
473,Cell502,1,1,9,10,15,4,16
474,Cell503,1,11,14,7,3,5,4
475,Cell504,1,13,11,9,12,11,6
476,Cell505,1,4,9,13,6,13,1
477,Cell506,1,3,12,16,2,7,15
478,Cell507,1,3,12,16,2,7,15
479,Cell508,1,6,6,12,5,14,2
480,Cell509,1,6,6,12,5,14,2
481,Cell510,1,2,2,15,13,6,0
482,Cell511,1,3,12,16,2,7,17
483,Cell512,1,14,8,1,9,8,8
484,Cell513,1,5,3,5,11,10,9
485,Cell514,1,15,5,8,0,15,7
486,Cell515,1,2,15,15,13,6,0
487,Cell516,1,3,12,16,2,7,15
488,Cell517,1,15,5,8,0,15,7
489,Cell518,1,3,12,16,2,7,15
490,Cell519,1,13,11,9,12,11,6
491,Cell520,1,1,9,10,15,4,12
492,Cell521,1,8,10,4,7,9,13
493,Cell522,1,10,7,2,10,1,3
494,Cell523,1,1,9,10,15,4,12
495,Cell524,1,7,4,3,1,2,21
496,Cell525,1,10,7,2,10,1,3
497,Cell526,1,1,9,10,15,4,12
498,Cell527,1,11,14,7,3,5,4
499,Cell528,1,15,5,8,0,15,7
500,Cell529,1,10,7,2,10,1,3
501,Cell530,1,2,15,15,13,6,0
502,Cell531,1,12,14,11,14,3,5
503,Cell532,1,4,9,13,6,13,1
504,Cell533,1,3,12,16,2,7,15
505,Cell534,1,9,6,14,4,0,14
506,Cell535,1,5,3,5,11,10,9
507,Cell536,1,8,10,4,7,9,19
508,Cell537,1,5,3,5,11,10,9
509,Cell538,1,12,14,11,14,3,5
510,Cell539,1,12,14,11,14,3,5
511,Cell540,1,2,2,15,13,6,0
512,Cell541,1,13,11,9,12,11,6
513,Cell542,1,10,7,2,10,1,3
514,Cell543,1,7,4,3,1,2,21
515,Cell544,1,8,10,4,7,9,19
516,Cell545,1,8,10,4,7,9,19
517,Cell546,1,15,13,8,0,15,7
518,Cell547,1,4,9,13,6,13,1
519,Cell548,1,10,7,2,10,1,3
520,Cell549,1,10,7,2,10,1,3
521,Cell550,1,4,9,13,6,13,1
522,Cell551,1,11,14,7,3,5,4
523,Cell552,1,11,14,7,3,5,4
524,Cell553,1,4,9,13,6,13,1
525,Cell555,1,7,4,3,1,2,21
526,Cell556,1,9,6,14,4,0,18
527,Cell557,1,7,4,3,1,2,10
528,Cell558,1,4,9,13,6,13,1
529,Cell559,1,14,8,1,9,8,8
530,Cell560,1,3,12,16,2,7,17
531,Cell561,1,12,14,11,14,3,5
532,Cell562,1,8,10,4,7,9,19
533,Cell563,1,9,6,14,4,0,14
534,Cell564,1,1,9,10,15,4,12
535,Cell565,1,13,11,9,12,11,6
536,Cell566,1,6,6,12,5,14,2
537,Cell567,1,7,4,3,1,2,10
538,Cell568,1,4,9,13,6,13,1
539,Cell569,1,12,14,11,14,3,5
540,Cell570,1,2,15,15,13,6,0
541,Cell571,1,5,3,5,11,10,9
542,Cell572,1,11,14,7,3,5,4
543,Cell573,1,5,3,5,11,10,20
544,Cell574,1,15,13,8,0,15,7
545,Cell575,1,8,10,4,7,9,19
546,Cell576,1,11,14,7,3,5,4
547,Cell577,1,8,10,4,7,9,13
548,Cell578,1,12,14,11,14,3,5
549,Cell579,1,4,9,13,6,13,1
550,Cell580,1,7,4,3,1,2,21
551,Cell581,1,6,6,12,5,14,2
552,Cell582,1,14,8,1,9,8,8
553,Cell583,1,11,14,7,3,5,4
554,Cell584,1,1,9,6,15,4,12
555,Cell585,1,15,5,8,0,15,7
556,Cell586,1,5,3,5,11,10,9
557,Cell587,1,4,9,13,6,13,1
558,Cell588,1,15,5,8,0,15,7
559,Cell589,1,2,1,15,13,6,0
560,Cell590,1,10,7,2,10,1,3
561,Cell591,1,6,6,12,5,14,2
562,Cell592,1,16,8,6,8,12,11
563,Cell593,1,16,9,6,8,12,11
564,Cell594,1,15,5,8,0,15,7
565,Cell595,1,4,9,13,6,13,1
566,Cell596,1,2,1,15,13,6,0
567,Cell597,1,1,9,10,15,4,16
568,Cell598,1,11,14,7,3,5,4
569,Cell599,1,9,6,14,4,0,14
570,Cell601,1,1,9,10,15,4,16
571,Cell603,1,3,12,16,2,7,17
572,Cell604,1,3,12,16,2,7,15
573,Cell605,1,10,7,2,10,1,3
574,Cell606,1,10,7,2,10,1,3
575,Cell607,1,14,8,1,9,8,8
576,Cell608,1,12,14,11,14,3,5
577,Cell609,1,4,9,13,6,13,1
578,Cell610,1,3,12,16,2,7,15
579,Cell611,1,8,10,4,7,9,13
580,Cell612,1,12,14,11,14,3,5
581,Cell613,1,8,10,4,7,9,19
582,Cell614,1,5,3,5,11,10,20
583,Cell615,1,12,14,11,14,3,5
584,Cell616,1,8,10,4,7,9,19
585,Cell617,1,8,10,4,7,9,13
586,Cell618,1,11,14,7,3,5,4
587,Cell619,1,3,12,16,2,7,17
588,Cell620,1,3,12,16,2,7,17
589,Cell621,1,10,7,2,10,1,3
590,Cell622,1,12,14,11,14,3,5
591,Cell623,1,1,9,10,15,4,12
592,Cell624,1,6,6,12,5,14,2
593,Cell626,1,13,11,9,12,11,6
594,Cell627,1,1,9,10,15,4,12
595,Cell628,1,7,4,3,1,2,21
596,Cell629,1,14,8,1,9,8,8
597,Cell630,1,6,6,12,5,14,2
598,Cell631,1,2,1,15,13,6,0
599,Cell632,1,16,9,6,8,12,11
600,Cell634,1,13,11,9,12,11,6
601,Cell635,1,6,6,12,5,14,2
602,Cell636,1,13,16,9,12,11,6
603,Cell638,1,14,8,1,9,8,8
604,Cell639,1,1,9,10,15,4,16
605,Cell640,1,8,10,4,7,9,13
606,Cell641,1,5,3,5,11,10,20
607,Cell642,1,4,9,13,6,13,1
608,Cell643,1,16,9,6,8,12,11
609,Cell644,1,1,9,10,15,4,12
610,Cell645,1,16,9,6,8,12,11
611,Cell647,1,12,14,11,14,3,5
612,Cell648,1,10,7,2,10,1,3
613,Cell649,1,15,13,8,0,15,7
614,Cell650,1,9,6,14,4,0,18
615,Cell651,1,10,7,2,10,1,3
616,Cell652,1,12,14,11,14,3,5
617,Cell653,1,15,13,8,0,15,7
618,Cell654,1,7,4,3,1,2,21
619,Cell655,1,5,3,5,11,10,9
620,Cell656,1,9,6,14,4,0,18
621,Cell657,1,6,6,12,5,14,2
622,Cell658,1,10,7,2,10,1,3
623,Cell659,1,11,14,7,3,5,4
624,Cell660,1,16,9,6,8,12,11
625,Cell661,1,8,10,4,7,9,19
626,Cell662,1,13,11,9,12,11,6
627,Cell663,1,6,6,12,5,14,2
628,Cell664,1,7,4,3,1,2,21
629,Cell665,1,14,8,1,9,8,8
630,Cell666,1,14,8,1,9,8,8
631,Cell667,1,12,14,11,14,3,5
632,Cell668,1,7,4,3,1,2,21
633,Cell669,1,1,9,10,15,4,12
634,Cell670,1,15,13,8,0,15,7
635,Cell671,1,1,9,10,15,4,12
636,Cell672,1,2,2,15,13,6,0
637,Cell673,1,1,9,10,15,4,16
638,Cell674,1,11,14,7,3,5,4
639,Cell675,1,4,9,13,6,13,1
640,Cell676,1,13,16,9,12,11,6
641,Cell679,1,15,5,8,0,15,7
642,Cell680,1,11,14,7,3,5,4
643,Cell681,1,4,9,13,6,13,1
644,Cell682,1,12,14,11,14,3,5
645,Cell683,1,1,9,10,15,4,12
646,Cell684,1,15,5,8,0,15,7
647,Cell685,1,11,14,7,3,5,4
648,Cell686,1,5,3,5,11,10,9
649,Cell687,1,1,9,10,15,4,12
650,Cell688,1,9,6,14,4,0,18
651,Cell689,1,8,10,4,7,9,13
652,Cell690,1,9,6,14,4,0,14
653,Cell691,1,12,14,11,14,3,5
654,Cell692,1,7,4,3,1,2,10
655,Cell693,1,5,3,5,11,10,9
656,Cell694,1,4,9,13,6,13,1
657,Cell695,1,6,6,12,5,14,2
658,Cell696,1,14,8,1,9,8,8
659,Cell697,1,6,6,12,5,14,2
660,Cell698,1,13,11,9,12,11,6
661,Cell699,1,10,7,2,10,1,3
