,ID,did,seurat_cluster,kmeans_cluster,labels,MOEA,SOEA,PhenoGraph
124,Cell138,1,21,5,2,26,7,17
125,Cell139,1,7,28,8,0,11,3
126,Cell140,1,16,11,13,29,21,14
127,Cell141,1,25,7,17,20,31,21
128,Cell142,1,6,15,7,4,12,4
129,Cell143,1,19,13,3,18,9,15
130,Cell144,1,21,5,2,26,7,17
131,Cell145,1,20,23,10,27,3,12
132,Cell146,1,7,28,8,0,11,3
133,Cell147,1,28,32,11,14,4,24
134,Cell149,1,23,21,32,13,0,19
135,Cell150,1,8,18,6,28,19,27
136,Cell151,1,9,3,25,22,15,6
137,Cell152,1,10,4,30,16,27,7
138,Cell153,1,1,29,21,30,22,0
139,Cell154,1,17,6,14,21,10,11
140,Cell156,1,20,23,10,27,3,12
141,Cell157,1,16,11,13,29,21,14
142,Cell158,1,25,7,17,20,31,21
143,Cell159,1,12,1,4,17,1,9
144,Cell161,1,11,1,22,8,28,8
145,Cell162,1,4,17,9,7,14,1
146,Cell163,1,2,10,12,31,24,25
147,Cell164,1,15,25,28,11,18,10
148,Cell165,1,13,12,15,12,26,26
149,Cell166,1,1,29,18,30,6,0
150,Cell167,1,7,28,8,0,11,3
151,Cell168,1,3,28,5,19,30,2
152,Cell169,1,22,9,19,25,5,18
153,Cell170,1,3,28,16,19,30,2
154,Cell171,1,5,31,23,23,25,5
155,Cell172,1,1,29,18,30,6,0
156,Cell173,1,4,17,9,7,14,1
157,Cell174,1,21,5,2,26,7,17
158,Cell175,1,17,6,14,21,10,11
159,Cell176,1,15,25,28,11,18,10
160,Cell177,1,20,26,10,27,3,12
161,Cell178,1,22,30,20,25,5,18
162,Cell180,1,16,8,13,29,21,14
163,Cell181,1,15,25,28,11,23,10
164,Cell182,1,26,14,31,6,16,22
165,Cell183,1,15,25,28,11,18,10
166,Cell184,1,3,28,5,19,30,2
167,Cell185,1,9,3,25,22,15,6
168,Cell187,1,3,28,5,0,11,3
169,Cell188,1,19,13,3,18,9,15
170,Cell189,1,10,4,30,16,27,7
171,Cell190,1,6,15,7,4,12,4
172,Cell191,1,5,20,16,23,29,27
173,Cell192,1,24,6,27,24,13,20
174,Cell193,1,7,28,8,0,11,3
175,Cell194,1,15,25,28,11,18,10
176,Cell195,1,10,4,30,16,27,7
177,Cell196,1,23,21,32,13,0,19
178,Cell197,1,1,29,18,30,6,0
179,Cell198,1,11,1,22,8,28,8
180,Cell199,1,8,20,21,23,29,27
181,Cell200,1,16,27,6,12,26,26
182,Cell201,1,14,19,26,5,20,13
183,Cell202,1,13,12,12,28,8,28
184,Cell203,1,20,26,6,27,3,12
185,Cell204,1,7,28,8,0,11,3
186,Cell205,1,24,6,27,24,13,20
187,Cell206,1,17,6,14,21,10,11
188,Cell207,1,12,1,4,17,1,9
189,Cell208,1,4,17,9,7,14,1
190,Cell209,1,18,22,29,15,2,16
191,Cell210,1,27,4,24,2,17,23
192,Cell212,1,17,6,14,21,10,11
193,Cell213,1,16,8,13,29,21,14
194,Cell214,1,24,6,27,24,13,20
195,Cell215,1,28,32,11,14,4,24
196,Cell216,1,2,18,20,31,19,29
197,Cell217,1,5,31,23,23,25,5
198,Cell218,1,18,16,29,15,2,16
199,Cell219,1,7,28,8,0,11,3
200,Cell220,1,23,21,32,13,0,19
201,Cell221,1,17,6,14,21,10,11
202,Cell222,1,28,32,11,14,4,24
203,Cell223,1,17,6,14,21,10,11
204,Cell224,1,10,4,30,16,27,7
205,Cell225,1,21,5,2,26,7,17
206,Cell226,1,1,29,18,30,22,0
207,Cell227,1,7,28,8,0,11,3
208,Cell228,1,5,31,23,23,25,5
209,Cell229,1,19,13,6,18,9,15
210,Cell230,1,3,28,5,19,30,2
211,Cell231,1,19,13,3,18,9,15
212,Cell232,1,9,3,25,22,15,6
213,Cell233,1,13,12,15,12,26,26
214,Cell235,1,15,25,28,11,23,10
215,Cell236,1,3,28,5,19,30,2
216,Cell237,1,13,12,15,12,26,28
217,Cell238,1,18,22,29,15,2,16
218,Cell239,1,21,5,2,26,7,17
219,Cell240,1,18,22,29,15,2,16
220,Cell241,1,20,26,10,27,3,12
221,Cell242,1,2,10,12,31,24,25
222,Cell243,1,5,31,20,23,25,5
223,Cell244,1,16,8,13,29,21,14
224,Cell246,1,19,13,3,18,9,15
225,Cell247,1,5,31,23,23,25,5
226,Cell248,1,3,28,5,19,30,2
227,Cell249,1,20,26,10,27,3,12
228,Cell250,1,15,25,28,11,18,10
229,Cell251,1,4,17,9,7,14,1
230,Cell252,1,15,25,28,11,18,10
231,Cell253,1,14,19,26,5,20,13
232,Cell254,1,13,12,21,28,8,28
233,Cell255,1,6,15,7,4,12,4
234,Cell256,1,1,29,15,30,22,0
235,Cell257,1,2,10,12,31,24,25
236,Cell258,1,16,11,13,29,21,14
237,Cell259,1,9,3,25,22,15,6
238,Cell260,1,4,17,9,7,14,1
239,Cell261,1,17,6,14,21,10,11
240,Cell262,1,9,3,25,22,15,6
241,Cell263,1,27,4,24,2,17,23
242,Cell264,1,10,4,30,16,27,7
243,Cell266,1,24,6,27,24,13,20
244,Cell267,1,13,12,15,12,26,26
245,Cell268,1,10,4,30,16,27,7
246,Cell269,1,17,6,14,21,10,11
247,Cell270,1,25,7,17,20,31,21
248,Cell271,1,26,14,16,6,16,22
249,Cell272,1,5,31,23,23,25,5
250,Cell273,1,7,28,8,0,11,3
251,Cell274,1,14,19,26,5,20,13
252,Cell275,1,25,7,17,20,31,21
253,Cell276,1,17,6,14,21,10,11
254,Cell277,1,10,4,30,16,27,7
255,Cell278,1,27,4,24,2,17,23
256,Cell279,1,9,3,25,22,15,6
257,Cell280,1,15,25,28,11,18,10
258,Cell281,1,8,20,21,23,29,27
259,Cell282,1,18,16,12,15,2,16
260,Cell283,1,1,29,18,30,6,0
261,Cell285,1,5,31,23,23,25,5
262,Cell286,1,16,27,1,29,21,14
263,Cell287,1,14,19,26,5,20,13
264,Cell288,1,20,23,10,27,3,12
265,Cell289,1,11,1,22,8,28,8
266,Cell290,1,4,17,1,7,14,1
267,Cell291,1,11,1,22,8,28,8
268,Cell292,1,11,1,22,8,28,8
269,Cell294,1,14,19,26,23,20,13
270,Cell295,1,11,1,22,8,28,8
271,Cell297,1,6,15,7,4,12,4
272,Cell299,1,13,12,6,28,8,28
273,Cell300,1,17,6,14,21,10,11
274,Cell301,1,23,21,32,13,0,19
275,Cell302,1,7,28,8,0,11,3
276,Cell303,1,2,24,10,31,19,25
277,Cell304,1,3,28,5,19,30,2
278,Cell305,1,4,17,9,7,14,1
279,Cell306,1,27,4,24,2,17,23
280,Cell307,1,24,6,27,24,13,20
281,Cell308,1,23,21,32,13,0,19
282,Cell309,1,5,31,23,23,25,5
283,Cell310,1,3,28,20,19,30,2
284,Cell311,1,19,13,3,18,9,15
285,Cell312,1,10,4,30,16,27,7
286,Cell313,1,27,4,24,2,17,23
287,Cell314,1,2,18,12,31,19,29
288,Cell315,1,9,3,25,22,15,6
289,Cell316,1,21,5,2,26,7,17
290,Cell317,1,27,4,24,2,17,23
291,Cell318,1,5,31,23,23,25,5
292,Cell319,1,2,18,16,31,19,29
293,Cell320,1,14,19,26,5,20,13
294,Cell321,1,4,17,9,7,14,1
295,Cell322,1,1,29,1,30,22,0
296,Cell323,1,23,21,32,13,0,19
297,Cell324,1,9,3,25,22,15,6
298,Cell325,1,15,25,28,11,18,10
299,Cell326,1,20,26,1,27,3,12
300,Cell327,1,9,3,31,22,15,6
301,Cell328,1,16,27,1,29,21,14
302,Cell329,1,4,17,9,7,14,1
303,Cell330,1,1,29,18,30,22,0
304,Cell331,1,3,28,1,19,30,2
305,Cell332,1,27,4,24,2,17,23
306,Cell333,1,27,4,31,2,17,23
307,Cell334,1,27,4,24,6,17,23
308,Cell335,1,8,20,21,23,29,27
309,Cell336,1,14,19,26,5,20,13
310,Cell337,1,10,4,30,16,27,7
311,Cell338,1,18,16,29,15,2,16
312,Cell339,1,17,6,14,21,10,11
313,Cell340,1,1,28,1,19,22,0
314,Cell341,1,26,14,31,6,16,22
315,Cell342,1,13,12,15,12,26,26
316,Cell343,1,27,14,24,6,17,23
317,Cell344,1,17,6,14,21,10,11
318,Cell345,1,14,19,26,5,20,13
319,Cell346,1,5,31,23,23,25,5
320,Cell347,1,1,29,20,30,22,0
321,Cell348,1,14,19,26,5,20,13
322,Cell349,1,14,19,26,5,20,13
323,Cell350,1,18,22,29,15,2,16
324,Cell351,1,24,6,27,24,13,20
325,Cell353,1,18,16,29,15,2,16
326,Cell354,1,2,10,12,31,24,25
327,Cell355,1,10,4,30,16,27,7
328,Cell356,1,24,6,27,24,13,20
329,Cell357,1,1,29,18,30,6,0
330,Cell358,1,2,10,12,31,24,25
331,Cell359,1,6,15,7,4,12,4
332,Cell360,1,5,31,23,23,25,5
333,Cell361,1,6,15,7,4,12,4
334,Cell362,1,2,10,12,31,24,25
335,Cell363,1,18,22,29,15,2,16
336,Cell364,1,9,3,25,22,15,6
337,Cell365,1,15,25,28,11,23,10
338,Cell366,1,24,6,31,24,13,20
339,Cell367,1,4,17,9,7,14,1
340,Cell368,1,20,23,10,27,3,12
341,Cell369,1,5,31,23,23,25,5
342,Cell370,1,16,8,13,29,21,14
343,Cell371,1,4,17,9,7,14,1
344,Cell372,1,3,28,5,19,30,2
345,Cell373,1,3,17,12,19,30,2
346,Cell374,1,3,28,8,0,30,2
347,Cell375,1,28,2,11,14,4,24
348,Cell376,1,9,3,25,22,15,6
349,Cell377,1,11,1,22,8,28,8
350,Cell378,1,28,2,11,14,4,24
351,Cell379,1,22,30,19,25,5,18
352,Cell380,1,16,27,15,12,26,26
353,Cell381,1,10,4,30,16,27,7
354,Cell382,1,28,2,11,14,4,24
355,Cell383,1,2,10,21,31,24,25
356,Cell384,1,14,19,26,5,20,13
357,Cell385,1,3,28,5,19,30,2
358,Cell386,1,7,28,8,0,11,3
359,Cell387,1,24,6,27,24,13,20
360,Cell388,1,16,8,13,29,21,14
361,Cell389,1,1,29,18,30,6,0
362,Cell391,1,24,6,16,24,13,20
363,Cell392,1,19,13,6,18,9,15
364,Cell393,1,6,15,7,4,12,4
365,Cell394,1,19,13,3,18,9,15
366,Cell395,1,26,14,16,6,16,22
367,Cell396,1,27,4,31,2,17,23
368,Cell397,1,28,32,11,14,4,24
369,Cell398,1,18,16,29,15,2,16
370,Cell399,1,11,1,22,8,28,8
371,Cell400,1,16,11,13,29,21,14
372,Cell401,1,10,4,30,16,27,7
373,Cell402,1,28,2,11,14,4,24
374,Cell403,1,17,6,14,21,10,11
375,Cell404,1,20,23,10,27,3,12
376,Cell405,1,3,28,5,19,30,2
377,Cell406,1,20,26,10,27,3,12
378,Cell407,1,26,14,21,6,16,22
379,Cell408,1,10,4,30,16,27,7
380,Cell409,1,12,1,4,17,1,9
381,Cell410,1,6,15,7,4,12,4
382,Cell411,1,11,1,22,8,28,8
383,Cell412,1,26,14,31,6,16,22
384,Cell413,1,7,28,8,0,11,3
385,Cell414,1,25,7,17,20,31,21
386,Cell415,1,6,15,7,4,12,4
387,Cell416,1,11,1,12,8,28,8
388,Cell417,1,27,4,24,2,17,23
389,Cell418,1,14,19,26,5,20,13
390,Cell419,1,26,14,31,6,16,22
391,Cell420,1,10,4,30,16,27,7
392,Cell421,1,9,3,25,22,15,6
393,Cell422,1,2,18,16,6,19,29
394,Cell423,1,6,15,7,4,12,4
395,Cell424,1,6,15,7,4,12,4
396,Cell425,1,26,14,31,6,16,22
397,Cell426,1,6,15,7,4,12,4
398,Cell427,1,24,6,27,24,13,20
399,Cell428,1,8,24,16,28,8,28
400,Cell429,1,12,1,4,17,1,9
401,Cell430,1,15,25,28,11,18,10
402,Cell431,1,12,1,4,17,1,9
403,Cell432,1,12,1,4,17,1,9
404,Cell433,1,2,10,12,31,24,25
405,Cell434,1,27,4,24,2,17,23
406,Cell436,1,11,1,22,8,28,8
407,Cell437,1,28,2,11,14,4,24
408,Cell438,1,10,4,30,16,27,7
409,Cell439,1,1,29,18,30,6,0
410,Cell440,1,9,3,25,22,15,6
411,Cell441,1,23,21,32,13,0,19
412,Cell442,1,4,17,6,7,14,1
413,Cell443,1,4,17,9,7,14,1
414,Cell444,1,7,28,8,0,11,3
415,Cell445,1,4,17,9,7,14,1
416,Cell446,1,1,12,1,28,8,28
417,Cell447,1,14,19,26,5,20,13
418,Cell448,1,24,6,27,24,13,20
419,Cell449,1,17,6,14,21,10,11
420,Cell450,1,15,25,28,11,23,10
421,Cell451,1,6,15,7,4,12,4
422,Cell452,1,14,19,26,5,20,13
423,Cell453,1,4,17,1,7,14,1
424,Cell454,1,23,21,32,13,0,19
425,Cell455,1,14,19,26,5,20,13
426,Cell456,1,23,21,32,13,0,19
427,Cell457,1,16,8,13,29,21,14
428,Cell458,1,6,15,20,4,12,4
429,Cell459,1,12,1,4,17,1,9
430,Cell460,1,6,15,7,4,12,4
431,Cell461,1,9,3,25,22,15,6
432,Cell462,1,13,12,15,12,26,26
433,Cell463,1,1,29,1,7,22,0
434,Cell464,1,7,28,8,0,11,3
435,Cell465,1,4,17,9,7,14,1
436,Cell466,1,10,4,30,16,27,7
437,Cell467,1,4,17,9,7,14,1
438,Cell468,1,26,14,31,6,16,22
439,Cell469,1,8,20,21,23,29,27
440,Cell470,1,10,4,30,16,27,7
441,Cell471,1,15,25,20,11,18,10
442,Cell472,1,12,1,4,17,1,9
443,Cell473,1,4,17,9,7,14,1
444,Cell474,1,4,17,9,7,14,1
445,Cell475,1,21,5,2,26,7,17
446,Cell476,1,1,17,12,28,8,28
447,Cell477,1,5,31,23,23,25,5
448,Cell478,1,25,7,17,20,31,21
449,Cell479,1,9,3,25,22,15,6
450,Cell480,1,11,1,22,8,28,8
451,Cell481,1,13,24,6,28,8,28
452,Cell482,1,6,15,16,6,19,4
453,Cell483,1,1,29,18,12,22,0
454,Cell484,1,11,1,22,8,28,8
455,Cell485,1,25,7,17,20,31,21
456,Cell486,1,26,14,31,6,16,22
457,Cell487,1,14,19,26,5,20,13
458,Cell488,1,15,25,28,11,18,10
459,Cell489,1,6,15,16,4,12,4
460,Cell490,1,24,6,27,24,13,20
461,Cell491,1,26,14,31,6,16,22
462,Cell492,1,21,5,20,26,7,17
463,Cell493,1,16,8,13,29,21,14
464,Cell494,1,22,9,19,25,5,18
465,Cell495,1,25,7,20,20,31,21
466,Cell496,1,26,14,6,23,16,22
467,Cell497,1,15,25,28,11,18,10
468,Cell498,1,13,12,6,12,8,28
469,Cell499,1,1,12,1,12,22,0
470,Cell500,1,20,23,10,27,3,12
471,Cell501,1,20,23,10,27,3,12
472,Cell502,1,1,29,18,30,6,0
473,Cell503,1,16,8,13,29,21,14
474,Cell504,1,2,18,16,28,19,29
475,Cell505,1,27,4,24,2,17,23
476,Cell506,1,10,4,30,16,27,7
477,Cell507,1,26,14,31,6,16,22
478,Cell508,1,5,31,23,23,25,5
479,Cell509,1,11,1,22,8,28,8
480,Cell510,1,15,25,28,11,18,10
481,Cell511,1,26,14,31,6,16,22
482,Cell512,1,23,21,32,13,0,19
483,Cell513,1,4,17,9,7,14,1
484,Cell514,1,17,6,14,21,10,11
485,Cell515,1,15,25,28,11,23,10
486,Cell516,1,10,4,30,16,27,7
487,Cell517,1,17,6,14,21,10,11
488,Cell518,1,10,4,30,16,27,7
489,Cell519,1,25,7,17,20,31,21
490,Cell520,1,22,9,19,25,5,18
491,Cell521,1,4,17,6,7,14,1
492,Cell522,1,21,5,2,26,7,17
493,Cell524,1,3,28,5,19,30,2
494,Cell525,1,19,13,3,18,9,15
495,Cell526,1,1,29,18,30,6,0
496,Cell527,1,2,10,12,31,24,25
497,Cell528,1,13,12,15,12,26,26
498,Cell529,1,21,5,2,26,7,17
499,Cell530,1,15,25,28,11,18,10
500,Cell531,1,8,20,20,18,29,27
501,Cell532,1,27,4,24,2,17,23
502,Cell533,1,26,14,31,6,16,22
503,Cell534,1,24,6,27,24,13,20
504,Cell535,1,4,17,9,7,14,1
505,Cell536,1,16,11,6,29,21,14
506,Cell537,1,7,28,8,0,11,3
507,Cell538,1,11,1,20,8,28,8
508,Cell539,1,8,20,21,23,29,27
509,Cell540,1,15,25,28,11,18,10
510,Cell541,1,25,7,17,20,31,21
511,Cell542,1,23,21,3,13,0,19
512,Cell543,1,3,28,5,19,30,2
513,Cell544,1,5,31,6,23,25,5
514,Cell545,1,6,15,7,4,12,4
515,Cell546,1,17,6,14,21,10,11
516,Cell547,1,9,3,25,22,15,6
517,Cell548,1,21,5,2,26,7,17
518,Cell549,1,21,5,2,26,7,17
519,Cell550,1,27,4,24,2,17,23
520,Cell551,1,16,8,13,29,21,14
521,Cell552,1,16,11,13,29,21,14
522,Cell553,1,27,4,24,2,17,23
523,Cell555,1,12,1,4,17,1,9
524,Cell556,1,14,19,26,5,20,13
525,Cell557,1,12,1,4,17,1,9
526,Cell558,1,27,4,24,2,17,23
527,Cell559,1,1,17,1,7,22,28
528,Cell560,1,8,14,31,6,16,27
529,Cell561,1,1,29,20,30,6,0
530,Cell562,1,6,15,7,4,12,4
531,Cell563,1,24,6,27,24,13,20
532,Cell564,1,1,29,18,30,6,0
533,Cell565,1,8,20,16,23,29,27
534,Cell566,1,5,31,23,23,25,5
535,Cell567,1,12,1,4,17,1,9
536,Cell568,1,9,3,25,22,15,6
537,Cell569,1,7,28,21,0,11,3
538,Cell570,1,18,16,29,15,2,16
539,Cell571,1,7,28,8,0,11,3
540,Cell572,1,3,28,12,19,30,2
541,Cell573,1,7,28,8,0,11,3
542,Cell574,1,17,6,14,21,10,11
543,Cell575,1,16,11,6,29,21,14
544,Cell576,1,2,10,12,31,24,25
545,Cell577,1,6,15,7,4,12,4
546,Cell578,1,6,15,20,4,12,4
547,Cell579,1,27,4,24,2,17,23
548,Cell580,1,12,1,4,17,1,9
549,Cell581,1,11,1,22,8,28,8
550,Cell582,1,23,21,32,13,0,19
551,Cell583,1,2,10,12,31,24,25
552,Cell584,1,20,23,10,27,3,12
553,Cell585,1,13,12,15,12,26,26
554,Cell586,1,4,17,9,7,14,1
555,Cell587,1,9,3,25,22,15,6
556,Cell588,1,19,13,15,18,9,15
557,Cell589,1,18,22,29,15,2,16
558,Cell590,1,21,5,2,26,7,17
559,Cell591,1,11,1,22,8,28,8
560,Cell592,1,20,26,10,27,3,12
561,Cell593,1,20,26,10,27,3,12
562,Cell594,1,17,6,14,21,10,11
563,Cell595,1,27,4,24,2,17,23
564,Cell596,1,18,16,29,15,2,16
565,Cell597,1,22,9,19,25,5,18
566,Cell598,1,16,11,13,29,21,14
567,Cell599,1,24,6,27,24,13,20
568,Cell601,1,22,30,19,25,5,18
569,Cell603,1,10,4,30,16,27,7
570,Cell604,1,26,14,31,6,16,22
571,Cell605,1,21,5,2,26,7,17
572,Cell606,1,19,13,3,18,9,15
573,Cell607,1,1,29,1,30,22,0
574,Cell608,1,1,29,21,30,22,0
575,Cell609,1,27,4,24,2,17,23
576,Cell610,1,26,14,31,6,16,22
577,Cell611,1,24,6,6,24,13,20
578,Cell612,1,1,29,20,30,6,0
579,Cell613,1,6,15,7,4,12,4
580,Cell614,1,7,28,8,0,11,3
581,Cell615,1,3,28,20,19,30,2
582,Cell616,1,6,15,7,4,12,4
583,Cell617,1,2,18,6,6,19,29
584,Cell618,1,2,10,12,31,24,25
585,Cell619,1,10,4,30,16,27,7
586,Cell620,1,10,4,30,16,27,7
587,Cell621,1,21,5,2,26,7,17
588,Cell622,1,8,20,21,23,29,27
589,Cell623,1,1,29,18,30,22,0
590,Cell624,1,11,1,22,8,28,8
591,Cell626,1,2,24,16,28,19,25
592,Cell627,1,1,29,18,30,6,0
593,Cell628,1,12,1,4,17,1,9
594,Cell629,1,23,21,32,13,0,19
595,Cell630,1,11,1,22,8,28,8
596,Cell631,1,15,25,28,11,23,10
597,Cell632,1,28,2,11,14,4,24
598,Cell633,1,8,24,12,28,8,28
599,Cell634,1,25,7,17,20,31,21
600,Cell635,1,11,1,22,8,28,8
601,Cell636,1,6,15,16,4,12,4
602,Cell638,1,17,6,1,21,10,11
603,Cell639,1,1,29,18,30,22,0
604,Cell640,1,6,15,7,4,12,4
605,Cell641,1,7,28,8,0,11,3
606,Cell642,1,9,3,25,22,15,6
607,Cell643,1,28,2,11,14,4,24
608,Cell644,1,1,29,18,30,6,0
609,Cell645,1,28,2,11,14,4,24
610,Cell647,1,8,18,21,28,19,27
611,Cell648,1,21,5,2,26,7,17
612,Cell649,1,17,6,14,21,10,11
613,Cell650,1,14,19,26,5,20,13
614,Cell651,1,21,5,2,26,7,17
615,Cell652,1,3,28,20,19,30,2
616,Cell653,1,13,12,15,12,26,26
617,Cell654,1,3,28,5,19,30,2
618,Cell655,1,4,17,9,7,14,1
619,Cell656,1,14,19,26,5,20,13
620,Cell657,1,11,1,22,8,28,8
621,Cell658,1,21,5,2,26,7,17
622,Cell659,1,16,8,13,29,21,14
623,Cell660,1,28,2,11,14,4,24
624,Cell661,1,5,31,6,23,25,5
625,Cell662,1,6,15,16,4,12,4
626,Cell663,1,11,1,22,8,28,8
627,Cell664,1,3,17,5,19,30,2
628,Cell665,1,2,10,1,31,24,25
629,Cell666,1,23,21,32,13,0,19
630,Cell667,1,3,28,20,19,30,2
631,Cell668,1,3,28,5,19,30,2
632,Cell669,1,22,30,19,25,5,18
633,Cell670,1,17,6,14,21,10,11
634,Cell671,1,22,30,19,25,5,18
635,Cell672,1,18,16,29,15,2,16
636,Cell673,1,22,9,19,25,5,18
637,Cell674,1,16,27,13,29,21,14
638,Cell675,1,27,4,24,2,17,23
639,Cell676,1,3,28,16,19,30,2
640,Cell677,1,21,5,2,26,7,17
641,Cell679,1,13,13,15,18,9,28
642,Cell680,1,2,10,12,31,24,25
643,Cell681,1,9,3,25,22,15,6
644,Cell682,1,8,20,21,23,29,27
645,Cell683,1,1,29,18,30,6,0
646,Cell684,1,17,6,14,21,10,11
647,Cell685,1,16,8,13,29,21,14
648,Cell686,1,7,28,8,0,11,3
649,Cell687,1,1,29,18,30,6,0
650,Cell688,1,24,6,27,24,13,20
651,Cell689,1,16,27,6,29,21,14
652,Cell690,1,24,6,27,24,13,20
653,Cell691,1,1,29,21,30,22,0
654,Cell692,1,3,28,5,0,11,3
655,Cell693,1,7,28,8,0,11,3
656,Cell694,1,27,4,24,2,17,23
657,Cell695,1,11,1,22,8,28,8
658,Cell696,1,23,21,32,13,0,19
659,Cell697,1,11,1,22,8,28,8
660,Cell698,1,25,7,17,20,31,21
661,Cell699,1,21,5,2,26,7,17
