,instance #,labels #,moea-time,soea-time,moea-sil,moea-ARI,moea-NMI,soea-sil,soea-ARI,soea-NMI,kmeans-sil,kmeasn-ARI,kmeans-NMI,phe-sil,phe-ARI,phe-NMI,seurat_sil,seurat-ARI,seurat-NMI,phe-clusters,seurat-clusters
25,4742,4,1919.659,1660.67,0.876,1.0,1.0,0.876,1.0,1.0,0.876,1.0,1.0,0.313,0.249,0.614,0.331,0.426,0.709,24,13
26,4744,8,3001.567,2707.795,0.881,1.0,1.0,0.881,1.0,1.0,0.881,1.0,1.0,0.357,0.476,0.788,0.532,0.809,0.91,26,13
27,4744,16,5030.332,4652.668,0.841,0.916,0.967,0.809,0.901,0.958,0.851,0.976,0.98,0.851,0.976,0.98,0.851,0.975,0.979,16,16
28,4746,32,9067.378,8471.008,0.664,0.762,0.835,0.638,0.754,0.832,0.676,0.782,0.84,0.679,0.749,0.838,0.651,0.689,0.831,28,25
29,4740,64,17296.25,13939.579,0.401,0.34,0.548,0.351,0.318,0.544,0.431,0.367,0.557,0.418,0.278,0.534,0.36,0.199,0.501,32,22
30,5697,2,1079.88,914.493,0.87,1.0,1.0,0.87,1.0,1.0,0.87,1.0,1.0,0.286,0.089,0.361,0.312,0.148,0.419,24,14
31,5687,4,1572.284,1372.087,0.887,1.0,1.0,0.887,1.0,1.0,0.887,1.0,1.0,0.306,0.23,0.602,0.321,0.411,0.699,26,14
32,5690,8,2551.797,2302.696,0.889,1.0,1.0,0.889,1.0,1.0,0.889,1.0,1.0,0.336,0.476,0.787,0.53,0.807,0.909,26,13
33,5682,16,4365.602,3998.156,0.81,0.946,0.957,0.81,0.945,0.957,0.81,0.945,0.957,0.77,0.925,0.947,0.808,0.945,0.956,17,16
34,5691,32,7933.415,7408.475,0.632,0.725,0.815,0.623,0.728,0.809,0.637,0.745,0.819,0.625,0.739,0.818,0.613,0.662,0.807,30,25
35,5691,64,15210.042,14269.164,0.408,0.348,0.562,0.35,0.307,0.554,0.454,0.388,0.572,0.426,0.289,0.556,0.429,0.26,0.541,33,27
36,6653,2,1289.218,1061.185,0.88,1.0,1.0,0.88,1.0,1.0,0.88,1.0,1.0,0.254,0.079,0.349,0.319,0.148,0.418,28,14
37,6643,4,1855.317,1609.622,0.864,1.0,1.0,0.864,1.0,1.0,0.864,1.0,1.0,0.314,0.212,0.592,0.337,0.4,0.697,28,14
38,6648,8,2982.61,2693.088,0.892,1.0,1.0,0.892,1.0,1.0,0.892,1.0,1.0,0.343,0.483,0.795,0.535,0.815,0.911,24,13
39,6645,16,5083.625,4666.581,0.819,0.841,0.91,0.776,0.874,0.908,0.776,0.872,0.907,0.699,0.836,0.89,0.774,0.876,0.91,19,16
40,6640,32,9805.763,11569.207,0.681,0.766,0.842,0.674,0.773,0.842,0.679,0.778,0.843,0.677,0.764,0.843,0.677,0.747,0.845,30,28
41,6643,64,23676.75,19921.576,0.406,0.348,0.566,0.382,0.34,0.567,0.449,0.385,0.576,0.424,0.308,0.568,0.404,0.232,0.539,34,26
42,7600,2,1452.069,1217.284,0.885,1.0,1.0,0.885,1.0,1.0,0.885,1.0,1.0,0.269,0.077,0.348,0.303,0.135,0.405,28,16
43,7602,4,2101.08,1851.24,0.877,1.0,1.0,0.877,1.0,1.0,0.877,1.0,1.0,0.296,0.212,0.59,0.328,0.352,0.672,29,16
44,7598,8,3367.012,3046.123,0.873,1.0,1.0,0.873,1.0,1.0,0.873,1.0,1.0,0.336,0.449,0.777,0.472,0.752,0.891,28,14
45,7601,16,5812.4,5352.978,0.847,0.923,0.969,0.813,0.906,0.961,0.816,0.965,0.973,0.73,0.916,0.95,0.816,0.963,0.972,19,16
46,7602,32,10557.762,9850.611,0.666,0.714,0.791,0.641,0.702,0.786,0.665,0.72,0.789,0.66,0.704,0.793,0.653,0.65,0.794,29,25
47,7596,64,20152.625,19006.668,0.412,0.348,0.545,0.374,0.32,0.544,0.446,0.374,0.556,0.405,0.302,0.545,0.404,0.239,0.526,36,26
48,8560,2,1635.6,1388.542,0.879,1.0,1.0,0.879,1.0,1.0,0.879,1.0,1.0,0.271,0.074,0.345,0.285,0.128,0.398,29,17
49,8550,4,2352.714,2068.108,0.881,1.0,1.0,0.881,1.0,1.0,0.881,1.0,1.0,0.313,0.218,0.596,0.332,0.374,0.683,27,15
50,8536,8,3808.368,3446.37,0.881,1.0,1.0,0.881,1.0,1.0,0.881,1.0,1.0,0.346,0.464,0.785,0.33,0.649,0.86,26,16
51,8541,16,6499.551,5999.62,0.87,0.984,0.985,0.87,0.985,0.985,0.87,0.985,0.985,0.771,0.933,0.962,0.87,0.984,0.985,19,16
52,8548,32,11886.806,11140.736,0.668,0.758,0.838,0.659,0.764,0.837,0.678,0.788,0.843,0.663,0.771,0.841,0.648,0.726,0.839,30,28
53,8540,64,22694.284,21433.813,0.399,0.343,0.559,0.367,0.337,0.56,0.455,0.378,0.571,0.421,0.294,0.564,0.429,0.256,0.558,33,27
54,9488,2,1822.212,1527.579,0.867,1.0,1.0,0.867,1.0,1.0,0.867,1.0,1.0,0.289,0.076,0.347,0.294,0.133,0.404,28,16
55,9500,4,2642.159,2316.253,0.879,1.0,1.0,0.879,1.0,1.0,0.879,1.0,1.0,0.302,0.214,0.593,0.305,0.339,0.66,28,18
56,9497,8,4259.543,3824.205,0.875,1.0,1.0,0.875,1.0,1.0,0.875,1.0,1.0,0.348,0.456,0.783,0.337,0.608,0.842,26,18
57,9498,16,7281.863,8046.014,0.848,0.962,0.969,0.849,0.963,0.97,0.849,0.963,0.97,0.575,0.825,0.914,0.849,0.964,0.97,24,16
58,9499,32,17830.241,15517.646,0.68,0.745,0.826,0.668,0.759,0.822,0.683,0.777,0.828,0.677,0.767,0.829,0.663,0.749,0.829,30,28
59,9505,64,25285.788,23915.599,0.433,0.414,0.612,0.379,0.379,0.604,0.483,0.449,0.619,0.463,0.378,0.619,0.436,0.294,0.608,40,31
0,957,2,285.887,224.148,0.855,1.0,1.0,0.855,1.0,1.0,0.855,1.0,1.0,0.329,0.171,0.439,0.366,0.313,0.535,12,7
1,953,4,381.461,318.937,0.905,1.0,1.0,0.905,1.0,1.0,0.905,1.0,1.0,0.359,0.446,0.721,0.462,0.748,0.854,12,7
2,953,8,582.546,520.373,0.888,1.0,1.0,0.888,1.0,1.0,0.888,1.0,1.0,0.888,1.0,1.0,0.888,1.0,1.0,8,8
3,959,16,959.266,872.427,0.842,0.972,0.978,0.789,0.901,0.954,0.843,0.972,0.977,0.843,0.976,0.981,0.843,0.976,0.981,16,16
4,953,32,1713.817,1591.749,0.546,0.617,0.743,0.552,0.622,0.751,0.558,0.626,0.746,0.525,0.513,0.731,0.482,0.409,0.704,20,17
5,951,64,3216.668,3038.965,0.334,0.16,0.517,0.287,0.137,0.508,0.374,0.186,0.531,0.349,0.101,0.383,0.352,0.059,0.289,15,8
6,1892,2,488.457,397.335,0.874,1.0,1.0,0.874,1.0,1.0,0.874,1.0,1.0,0.31,0.131,0.401,0.318,0.241,0.487,17,9
7,1896,4,691.072,586.495,0.882,1.0,1.0,0.882,1.0,1.0,0.882,1.0,1.0,0.325,0.384,0.687,0.333,0.578,0.782,15,9
8,1895,8,1074.978,960.32,0.898,1.0,1.0,0.898,1.0,1.0,0.898,1.0,1.0,0.426,0.688,0.867,0.898,1.0,1.0,16,8
9,1898,16,1846.559,1678.147,0.867,0.842,0.95,0.775,0.892,0.944,0.838,0.964,0.971,0.837,0.961,0.97,0.851,0.926,0.967,16,15
10,1900,32,3314.413,2661.375,0.572,0.618,0.746,0.574,0.635,0.75,0.59,0.654,0.754,0.585,0.567,0.749,0.584,0.547,0.746,22,21
11,1902,64,4917.71,4628.341,0.355,0.263,0.525,0.337,0.25,0.517,0.396,0.27,0.531,0.373,0.191,0.469,0.354,0.137,0.43,23,16
12,2836,2,536.338,446.847,0.881,1.0,1.0,0.881,1.0,1.0,0.881,1.0,1.0,0.298,0.118,0.391,0.302,0.203,0.458,18,11
13,2841,4,781.062,668.761,0.896,1.0,1.0,0.896,1.0,1.0,0.896,1.0,1.0,0.33,0.328,0.661,0.343,0.457,0.724,17,12
14,2843,8,1241.892,1094.869,0.876,1.0,1.0,0.876,1.0,1.0,0.876,1.0,1.0,0.368,0.561,0.824,0.876,1.0,1.0,20,8
15,2841,16,2097.809,1940.164,0.847,0.921,0.958,0.849,0.971,0.974,0.849,0.971,0.974,0.849,0.971,0.975,0.848,0.971,0.974,16,16
16,2839,32,3809.685,3559.727,0.582,0.636,0.755,0.589,0.646,0.753,0.595,0.663,0.761,0.592,0.606,0.757,0.578,0.55,0.745,26,22
17,2845,64,7312.717,7029.76,0.347,0.269,0.507,0.359,0.287,0.507,0.404,0.299,0.523,0.382,0.198,0.479,0.347,0.157,0.453,25,19
18,3792,2,709.043,586.188,0.866,1.0,1.0,0.866,1.0,1.0,0.866,1.0,1.0,0.273,0.109,0.381,0.311,0.197,0.454,20,11
19,3798,4,1014.58,873.902,0.886,1.0,1.0,0.886,1.0,1.0,0.886,1.0,1.0,0.327,0.284,0.636,0.331,0.451,0.723,20,12
20,3788,8,1616.864,1451.733,0.892,1.0,1.0,0.892,1.0,1.0,0.892,1.0,1.0,0.355,0.507,0.8,0.82,0.974,0.984,24,9
21,3783,16,2767.68,2559.64,0.85,0.911,0.959,0.828,0.966,0.97,0.828,0.964,0.97,0.828,0.965,0.97,0.828,0.966,0.971,16,16
22,3791,32,5081.405,4755.717,0.657,0.752,0.839,0.656,0.762,0.841,0.661,0.777,0.845,0.653,0.769,0.844,0.635,0.683,0.832,31,25
23,3792,64,9710.29,9164.844,0.394,0.326,0.533,0.352,0.296,0.531,0.434,0.333,0.541,0.394,0.239,0.513,0.388,0.194,0.494,28,21
24,4739,2,869.787,736.75,0.885,1.0,1.0,0.885,1.0,1.0,0.885,1.0,1.0,0.286,0.106,0.379,0.311,0.176,0.441,20,12
25,4742,4,1271.433,1084.15,0.876,1.0,1.0,0.876,1.0,1.0,0.876,1.0,1.0,0.307,0.274,0.627,0.331,0.426,0.709,22,13
26,4744,8,2023.172,1840.06,0.881,1.0,1.0,0.881,1.0,1.0,0.881,1.0,1.0,0.35,0.513,0.801,0.532,0.809,0.91,24,13
27,4744,16,3466.969,3199.88,0.766,0.857,0.941,0.851,0.976,0.98,0.851,0.976,0.98,0.851,0.976,0.98,0.851,0.975,0.979,16,16
28,4746,32,6337.99,6058.321,0.678,0.762,0.838,0.67,0.756,0.834,0.673,0.782,0.841,0.679,0.751,0.84,0.651,0.689,0.831,28,25
29,4740,64,12081.452,11448.03,0.359,0.309,0.541,0.37,0.337,0.546,0.433,0.365,0.554,0.406,0.276,0.535,0.36,0.199,0.501,32,22
30,5697,2,1040.319,874.521,0.87,1.0,1.0,0.87,1.0,1.0,0.87,1.0,1.0,0.297,0.081,0.354,0.312,0.148,0.419,26,14
31,5687,4,1513.033,1316.759,0.887,1.0,1.0,0.887,1.0,1.0,0.887,1.0,1.0,0.288,0.259,0.617,0.321,0.411,0.699,24,14
32,5690,8,2454.085,2190.057,0.889,1.0,1.0,0.889,1.0,1.0,0.889,1.0,1.0,0.34,0.49,0.793,0.53,0.807,0.909,25,13
33,5682,16,4159.691,3821.206,0.81,0.946,0.957,0.81,0.946,0.957,0.81,0.945,0.957,0.808,0.943,0.955,0.808,0.945,0.956,16,16
34,5691,32,7589.17,7128.183,0.639,0.745,0.819,0.605,0.726,0.814,0.639,0.749,0.82,0.624,0.738,0.819,0.613,0.662,0.807,30,25
35,5691,64,14513.713,13739.015,0.28,0.219,0.527,0.391,0.346,0.562,0.455,0.382,0.572,0.415,0.283,0.555,0.429,0.26,0.541,32,27
36,6653,2,1218.224,1014.405,0.88,1.0,1.0,0.88,1.0,1.0,0.88,1.0,1.0,0.276,0.085,0.358,0.319,0.148,0.418,25,14
37,6643,4,1766.592,1534.684,0.864,1.0,1.0,0.864,1.0,1.0,0.864,1.0,1.0,0.303,0.226,0.601,0.337,0.4,0.697,26,14
38,6648,8,2839.667,2557.665,0.892,1.0,1.0,0.892,1.0,1.0,0.892,1.0,1.0,0.344,0.483,0.795,0.535,0.815,0.911,24,13
39,6645,16,4860.06,4454.98,0.815,0.842,0.911,0.776,0.872,0.907,0.776,0.871,0.907,0.698,0.831,0.888,0.774,0.876,0.91,19,16
40,6640,32,8871.66,8329.819,0.684,0.772,0.845,0.674,0.767,0.842,0.676,0.775,0.842,0.669,0.764,0.84,0.677,0.747,0.845,31,28
41,6643,64,17048.391,16046.978,0.418,0.37,0.573,0.38,0.343,0.569,0.447,0.387,0.58,0.422,0.308,0.565,0.404,0.232,0.539,34,26
42,7600,2,1398.477,1165.061,0.885,1.0,1.0,0.885,1.0,1.0,0.885,1.0,1.0,0.28,0.077,0.348,0.303,0.135,0.405,28,16
43,7602,4,2035.717,1758.251,0.877,1.0,1.0,0.877,1.0,1.0,0.877,1.0,1.0,0.297,0.218,0.594,0.328,0.352,0.672,28,16
44,7598,8,3230.62,2926.875,0.873,1.0,1.0,0.873,1.0,1.0,0.873,1.0,1.0,0.326,0.446,0.774,0.472,0.752,0.891,29,14
45,7601,16,5585.007,5119.416,0.844,0.856,0.948,0.816,0.965,0.973,0.816,0.965,0.973,0.729,0.917,0.95,0.816,0.963,0.972,19,16
46,7602,32,10165.756,9488.353,0.671,0.713,0.792,0.65,0.706,0.788,0.666,0.719,0.79,0.653,0.702,0.791,0.653,0.65,0.794,29,25
47,7596,64,19361.305,18271.591,0.402,0.349,0.551,0.389,0.33,0.547,0.45,0.374,0.554,0.405,0.297,0.547,0.404,0.239,0.526,35,26
48,8560,2,1563.087,1331.671,0.879,1.0,1.0,0.879,1.0,1.0,0.879,1.0,1.0,0.277,0.076,0.346,0.285,0.128,0.398,29,17
49,8550,4,2258.312,1961.3,0.881,1.0,1.0,0.881,1.0,1.0,0.881,1.0,1.0,0.298,0.202,0.585,0.332,0.374,0.683,30,15
50,8536,8,3639.021,3257.644,0.881,1.0,1.0,0.881,1.0,1.0,0.881,1.0,1.0,0.333,0.427,0.768,0.33,0.649,0.86,30,16
51,8541,16,6238.895,5724.65,0.87,0.984,0.985,0.87,0.985,0.985,0.87,0.985,0.985,0.701,0.892,0.948,0.87,0.984,0.985,21,16
52,8548,32,11422.865,10614.863,0.674,0.782,0.843,0.667,0.77,0.836,0.678,0.788,0.843,0.664,0.773,0.84,0.648,0.726,0.839,31,28
53,8540,64,22409.67,21569.104,0.407,0.358,0.563,0.377,0.337,0.559,0.451,0.376,0.571,0.425,0.309,0.565,0.429,0.256,0.558,34,27
54,9488,2,1831.145,1532.436,0.867,1.0,1.0,0.867,1.0,1.0,0.867,1.0,1.0,0.292,0.074,0.344,0.294,0.133,0.404,29,16
55,9500,4,2658.704,2316.665,0.879,1.0,1.0,0.879,1.0,1.0,0.879,1.0,1.0,0.294,0.22,0.595,0.305,0.339,0.66,28,18
56,9497,8,4266.673,3830.088,0.875,1.0,1.0,0.875,1.0,1.0,0.875,1.0,1.0,0.336,0.435,0.774,0.337,0.608,0.842,28,18
57,9498,16,7183.15,6521.332,0.848,0.961,0.969,0.849,0.963,0.97,0.849,0.963,0.97,0.608,0.831,0.919,0.849,0.964,0.97,23,16
58,9499,32,15642.149,14736.149,0.675,0.757,0.825,0.673,0.756,0.824,0.682,0.777,0.828,0.673,0.767,0.83,0.663,0.749,0.829,30,28
59,9505,64,30168.765,27060.645,0.429,0.406,0.612,0.431,0.406,0.61,0.485,0.451,0.62,0.443,0.365,0.619,0.436,0.294,0.608,39,31
0,957,2,251.965,192.081,0.855,1.0,1.0,0.855,1.0,1.0,0.855,1.0,1.0,0.342,0.17,0.438,0.366,0.313,0.535,12,7
1,953,4,333.439,273.172,0.905,1.0,1.0,0.905,1.0,1.0,0.905,1.0,1.0,0.377,0.418,0.707,0.462,0.748,0.854,13,7
2,953,8,507.617,439.477,0.888,1.0,1.0,0.888,1.0,1.0,0.888,1.0,1.0,0.888,1.0,1.0,0.888,1.0,1.0,8,8
3,959,16,834.966,757.119,0.818,0.788,0.933,0.843,0.972,0.977,0.843,0.972,0.977,0.843,0.976,0.981,0.843,0.976,0.981,16,16
4,953,32,1483.905,1383.623,0.558,0.626,0.747,0.551,0.629,0.748,0.554,0.631,0.749,0.529,0.515,0.731,0.482,0.409,0.704,20,17
5,951,64,2560.985,2343.998,0.32,0.149,0.517,0.312,0.152,0.512,0.372,0.168,0.522,0.351,0.1,0.382,0.352,0.059,0.289,15,8
6,1892,2,381.011,304.936,0.874,1.0,1.0,0.874,1.0,1.0,0.874,1.0,1.0,0.31,0.117,0.388,0.318,0.241,0.487,19,9
7,1896,4,529.52,450.08,0.882,1.0,1.0,0.882,1.0,1.0,0.882,1.0,1.0,0.329,0.413,0.7,0.333,0.578,0.782,14,9
8,1895,8,831.363,748.739,0.898,1.0,1.0,0.898,1.0,1.0,0.898,1.0,1.0,0.421,0.706,0.876,0.898,1.0,1.0,15,8
9,1898,16,1413.341,1304.554,0.867,0.841,0.95,0.838,0.963,0.971,0.838,0.964,0.971,0.836,0.961,0.972,0.851,0.926,0.967,16,15
10,1900,32,2579.859,2414.464,0.561,0.62,0.744,0.563,0.625,0.744,0.584,0.652,0.755,0.581,0.565,0.751,0.584,0.547,0.746,22,21
11,1902,64,4904.61,4621.02,0.342,0.249,0.526,0.336,0.254,0.52,0.397,0.274,0.533,0.37,0.186,0.466,0.354,0.137,0.43,22,16
12,2836,2,537.104,442.371,0.881,1.0,1.0,0.881,1.0,1.0,0.881,1.0,1.0,0.322,0.111,0.384,0.302,0.203,0.458,19,11
13,2841,4,771.39,664.746,0.896,1.0,1.0,0.896,1.0,1.0,0.896,1.0,1.0,0.332,0.302,0.645,0.343,0.457,0.724,19,12
14,2843,8,1230.457,1088.632,0.876,1.0,1.0,0.876,1.0,1.0,0.876,1.0,1.0,0.37,0.566,0.825,0.876,1.0,1.0,20,8
15,2841,16,2088.191,1933.658,0.845,0.92,0.957,0.849,0.971,0.974,0.849,0.971,0.974,0.849,0.971,0.975,0.848,0.971,0.974,16,16
16,2839,32,3807.204,3565.118,0.594,0.637,0.751,0.578,0.632,0.751,0.6,0.662,0.759,0.587,0.616,0.758,0.578,0.55,0.745,26,22
17,2845,64,8023.901,7875.715,0.364,0.285,0.513,0.35,0.283,0.507,0.414,0.305,0.52,0.384,0.201,0.48,0.347,0.157,0.453,25,19
18,3792,2,827.976,688.27,0.866,1.0,1.0,0.866,1.0,1.0,0.866,1.0,1.0,0.281,0.102,0.375,0.311,0.197,0.454,21,11
19,3798,4,1196.213,1017.839,0.886,1.0,1.0,0.886,1.0,1.0,0.886,1.0,1.0,0.32,0.264,0.624,0.331,0.451,0.723,22,12
20,3788,8,1893.599,1713.899,0.892,1.0,1.0,0.892,1.0,1.0,0.892,1.0,1.0,0.359,0.534,0.812,0.82,0.974,0.984,22,9
21,3783,16,3213.231,2951.546,0.85,0.91,0.958,0.771,0.895,0.951,0.828,0.964,0.97,0.828,0.964,0.969,0.828,0.966,0.971,16,16
22,3791,32,5806.636,5435.682,0.657,0.762,0.84,0.642,0.743,0.835,0.663,0.768,0.841,0.625,0.757,0.845,0.635,0.683,0.832,30,25
23,3792,64,10271.234,9130.22,0.376,0.307,0.532,0.381,0.307,0.532,0.426,0.339,0.543,0.391,0.245,0.518,0.388,0.194,0.494,29,21
24,4739,2,859.492,726.135,0.885,1.0,1.0,0.885,1.0,1.0,0.885,1.0,1.0,0.287,0.109,0.383,0.311,0.176,0.441,19,12
25,4742,4,1262.18,1083.261,0.876,1.0,1.0,0.876,1.0,1.0,0.876,1.0,1.0,0.314,0.258,0.619,0.331,0.426,0.709,23,13
26,4744,8,2025.974,1830.791,0.881,1.0,1.0,0.881,1.0,1.0,0.881,1.0,1.0,0.352,0.491,0.793,0.532,0.809,0.91,25,13
27,4744,16,3463.495,3183.505,0.842,0.917,0.967,0.851,0.976,0.98,0.851,0.976,0.98,0.851,0.975,0.979,0.851,0.975,0.979,16,16
28,4746,32,6312.342,6018.532,0.662,0.726,0.827,0.672,0.772,0.838,0.669,0.781,0.841,0.68,0.758,0.843,0.651,0.689,0.831,28,25
29,4740,64,12135.701,11399.593,0.406,0.355,0.548,0.385,0.338,0.55,0.43,0.357,0.551,0.412,0.283,0.538,0.36,0.199,0.501,32,22
30,5697,2,1030.618,868.493,0.87,1.0,1.0,0.87,1.0,1.0,0.87,1.0,1.0,0.304,0.092,0.365,0.312,0.148,0.419,23,14
31,5687,4,1503.474,1303.729,0.887,1.0,1.0,0.887,1.0,1.0,0.887,1.0,1.0,0.314,0.234,0.606,0.321,0.411,0.699,25,14
32,5690,8,2443.9,2174.422,0.889,1.0,1.0,0.889,1.0,1.0,0.889,1.0,1.0,0.336,0.48,0.791,0.53,0.807,0.909,25,13
33,5682,16,4130.86,3798.6,0.807,0.902,0.953,0.759,0.883,0.936,0.81,0.945,0.957,0.768,0.927,0.948,0.808,0.945,0.956,17,16
34,5691,32,7569.569,7070.207,0.637,0.741,0.817,0.61,0.727,0.814,0.639,0.749,0.82,0.626,0.74,0.82,0.613,0.662,0.807,30,25
35,5691,64,14474.767,13652.346,0.406,0.359,0.571,0.379,0.343,0.561,0.451,0.387,0.577,0.419,0.293,0.557,0.429,0.26,0.541,34,27
36,6653,2,1208.542,1012.252,0.88,1.0,1.0,0.88,1.0,1.0,0.88,1.0,1.0,0.291,0.09,0.362,0.319,0.148,0.418,24,14
37,6643,4,1756.897,1525.646,0.864,1.0,1.0,0.864,1.0,1.0,0.864,1.0,1.0,0.313,0.235,0.606,0.337,0.4,0.697,25,14
38,6648,8,2818.737,2541.397,0.892,1.0,1.0,0.892,1.0,1.0,0.892,1.0,1.0,0.345,0.478,0.791,0.535,0.815,0.911,25,13
39,6645,16,4836.136,4442.222,0.774,0.839,0.908,0.776,0.872,0.907,0.776,0.872,0.907,0.698,0.829,0.887,0.774,0.876,0.91,19,16
40,6640,32,8827.616,8266.028,0.67,0.764,0.843,0.655,0.755,0.839,0.676,0.777,0.843,0.672,0.759,0.841,0.677,0.747,0.845,30,28
41,6643,64,16879.262,15898.032,0.399,0.355,0.574,0.363,0.339,0.567,0.442,0.381,0.579,0.419,0.31,0.566,0.404,0.232,0.539,34,26
42,7600,2,1389.837,1164.246,0.885,1.0,1.0,0.885,1.0,1.0,0.885,1.0,1.0,0.275,0.079,0.349,0.303,0.135,0.405,28,16
43,7602,4,2024.719,1752.357,0.877,1.0,1.0,0.877,1.0,1.0,0.877,1.0,1.0,0.311,0.229,0.602,0.328,0.352,0.672,26,16
44,7598,8,3283.463,2914.772,0.873,1.0,1.0,0.873,1.0,1.0,0.873,1.0,1.0,0.351,0.477,0.79,0.472,0.752,0.891,25,14
45,7601,16,5596.375,5125.226,0.854,0.868,0.955,0.789,0.89,0.952,0.816,0.965,0.973,0.749,0.93,0.957,0.816,0.963,0.972,18,16
46,7602,32,10110.347,9448.678,0.608,0.643,0.777,0.645,0.703,0.783,0.663,0.713,0.788,0.66,0.706,0.793,0.653,0.65,0.794,29,25
47,7596,64,19382.152,18199.388,0.363,0.316,0.545,0.368,0.317,0.541,0.45,0.375,0.556,0.41,0.296,0.542,0.404,0.239,0.526,35,26
48,8560,2,1550.451,1325.337,0.879,1.0,1.0,0.879,1.0,1.0,0.879,1.0,1.0,0.277,0.078,0.35,0.285,0.128,0.398,27,17
49,8550,4,2253.268,1968.506,0.881,1.0,1.0,0.881,1.0,1.0,0.881,1.0,1.0,0.319,0.222,0.6,0.332,0.374,0.683,26,15
