,instance #,labels #,moea-time,soea-time,moea-sil,moea-ARI,moea-NMI,soea-sil,soea-ARI,soea-NMI,kmeans-sil,kmeasn-ARI,kmeans-NMI,phe-sil,phe-ARI,phe-NMI,seurat_sil,seurat-ARI,seurat-NMI,phe-clusters,seurat-clusters
25,4742,4,116.268,79.634,0.876,1.000,1.000,0.876,1.000,1.000,0.876,1.000,1.000,0.313,0.266,0.624,0.331,0.426,0.709,22,13
26,4744,8,154.491,114.548,0.881,1.000,1.000,0.881,1.000,1.000,0.881,1.000,1.000,0.355,0.507,0.800,0.532,0.809,0.910,24,13
27,4744,16,227.653,183.714,0.851,0.976,0.980,0.804,0.896,0.956,0.851,0.976,0.980,0.851,0.976,0.980,0.851,0.975,0.979,16,16
28,4746,32,374.924,319.298,0.654,0.729,0.826,0.666,0.767,0.836,0.670,0.774,0.839,0.681,0.755,0.841,0.651,0.689,0.831,28,25
29,4740,64,688.460,599.690,0.403,0.343,0.545,0.343,0.318,0.545,0.425,0.366,0.556,0.413,0.282,0.538,0.360,0.199,0.501,32,22
30,5697,2,102.322,67.853,0.870,1.000,1.000,0.870,1.000,1.000,0.870,1.000,1.000,0.282,0.093,0.366,0.312,0.148,0.419,23,14
31,5687,4,128.066,89.061,0.887,1.000,1.000,0.887,1.000,1.000,0.887,1.000,1.000,0.310,0.243,0.609,0.321,0.411,0.699,25,14
32,5690,8,172.483,133.750,0.889,1.000,1.000,0.889,1.000,1.000,0.889,1.000,1.000,0.331,0.463,0.785,0.530,0.807,0.909,26,13
33,5682,16,257.316,214.754,0.802,0.775,0.919,0.810,0.945,0.956,0.810,0.945,0.957,0.769,0.926,0.948,0.808,0.945,0.956,17,16
34,5691,32,443.561,377.428,0.636,0.737,0.818,0.612,0.742,0.817,0.640,0.752,0.821,0.624,0.740,0.819,0.613,0.662,0.807,30,25
35,5691,64,812.876,716.096,0.397,0.355,0.564,0.392,0.349,0.565,0.452,0.385,0.573,0.425,0.284,0.554,0.429,0.260,0.541,31,27
36,6653,2,117.506,73.723,0.880,1.000,1.000,0.880,1.000,1.000,0.880,1.000,1.000,0.282,0.084,0.357,0.319,0.148,0.418,25,14
37,6643,4,136.909,97.026,0.864,1.000,1.000,0.864,1.000,1.000,0.864,1.000,1.000,0.314,0.225,0.598,0.337,0.400,0.697,27,14
38,6648,8,193.114,146.756,0.892,1.000,1.000,0.892,1.000,1.000,0.892,1.000,1.000,0.344,0.475,0.790,0.535,0.815,0.911,25,13
39,6645,16,291.571,243.996,0.788,0.856,0.903,0.754,0.840,0.896,0.777,0.872,0.907,0.728,0.852,0.895,0.774,0.876,0.910,18,16
40,6640,32,501.374,429.146,0.678,0.779,0.845,0.664,0.750,0.839,0.677,0.774,0.842,0.677,0.764,0.843,0.677,0.747,0.845,30,28
41,6643,64,936.988,819.593,0.393,0.356,0.568,0.380,0.369,0.574,0.441,0.380,0.578,0.418,0.311,0.567,0.404,0.232,0.539,35,26
42,7600,2,121.066,82.521,0.885,1.000,1.000,0.885,1.000,1.000,0.885,1.000,1.000,0.265,0.080,0.351,0.303,0.135,0.405,27,16
43,7602,4,157.971,111.001,0.877,1.000,1.000,0.877,1.000,1.000,0.877,1.000,1.000,0.309,0.229,0.600,0.328,0.352,0.672,27,16
44,7598,8,215.234,167.023,0.873,1.000,1.000,0.873,1.000,1.000,0.873,1.000,1.000,0.346,0.467,0.786,0.472,0.752,0.891,26,14
45,7601,16,334.796,279.122,0.854,0.868,0.955,0.816,0.965,0.973,0.816,0.965,0.973,0.792,0.950,0.965,0.816,0.963,0.972,17,16
46,7602,32,576.773,491.918,0.669,0.710,0.790,0.644,0.701,0.788,0.660,0.720,0.791,0.655,0.701,0.792,0.653,0.650,0.794,29,25
47,7596,64,1075.899,934.533,0.420,0.356,0.549,0.385,0.329,0.542,0.447,0.377,0.555,0.411,0.283,0.544,0.404,0.239,0.526,33,26
48,8560,2,132.742,87.693,0.879,1.000,1.000,0.879,1.000,1.000,0.879,1.000,1.000,0.284,0.073,0.344,0.285,0.128,0.398,29,17
49,8550,4,168.641,121.059,0.881,1.000,1.000,0.881,1.000,1.000,0.881,1.000,1.000,0.291,0.210,0.591,0.332,0.374,0.683,28,15
50,8536,8,234.778,185.849,0.881,1.000,1.000,0.881,1.000,1.000,0.881,1.000,1.000,0.341,0.448,0.777,0.330,0.649,0.860,28,16
51,8541,16,371.205,306.816,0.870,0.984,0.985,0.870,0.985,0.985,0.870,0.985,0.985,0.771,0.935,0.963,0.870,0.984,0.985,19,16
52,8548,32,644.162,557.633,0.667,0.752,0.837,0.671,0.780,0.840,0.678,0.788,0.843,0.663,0.773,0.837,0.648,0.726,0.839,31,28
53,8540,64,1192.098,1044.543,0.399,0.347,0.563,0.384,0.343,0.566,0.451,0.377,0.570,0.432,0.319,0.570,0.429,0.256,0.558,35,27
54,9488,2,141.976,95.474,0.867,1.000,1.000,0.867,1.000,1.000,0.867,1.000,1.000,0.275,0.076,0.348,0.294,0.133,0.404,28,16
55,9500,4,181.673,132.139,0.879,1.000,1.000,0.879,1.000,1.000,0.879,1.000,1.000,0.300,0.216,0.595,0.305,0.339,0.660,27,18
56,9497,8,258.002,203.118,0.875,1.000,1.000,0.875,1.000,1.000,0.875,1.000,1.000,0.346,0.450,0.782,0.337,0.608,0.842,26,18
57,9498,16,406.181,334.141,0.849,0.962,0.969,0.849,0.963,0.970,0.849,0.963,0.970,0.617,0.839,0.920,0.849,0.964,0.970,23,16
58,9499,32,705.964,613.875,0.680,0.760,0.825,0.659,0.756,0.821,0.675,0.772,0.829,0.669,0.759,0.830,0.663,0.749,0.829,29,28
59,9505,64,1327.066,1174.444,0.455,0.425,0.616,0.424,0.397,0.612,0.474,0.437,0.618,0.457,0.372,0.616,0.436,0.294,0.608,40,31
