,instance #,labels #,moea-time,soea-time,moea-sil,moea-ARI,moea-NMI,soea-sil,soea-ARI,soea-NMI,kmeans-sil,kmeasn-ARI,kmeans-NMI,phe-sil,phe-ARI,phe-NMI,seurat_sil,seurat-ARI,seurat-NMI,phe-clusters,seurat-clusters
49,8550,4,153.223,107.530,0.881,1.000,1.000,0.881,1.000,1.000,0.881,1.000,1.000,0.306,0.221,0.598,0.332,0.374,0.683,27,15
50,8536,8,214.058,164.094,0.881,1.000,1.000,0.881,1.000,1.000,0.881,1.000,1.000,0.335,0.441,0.775,0.330,0.649,0.860,28,16
51,8541,16,334.380,275.586,0.870,0.984,0.985,0.870,0.985,0.985,0.870,0.985,0.985,0.763,0.934,0.963,0.870,0.984,0.985,19,16
52,8548,32,569.967,487.963,0.651,0.734,0.831,0.671,0.779,0.841,0.678,0.788,0.844,0.664,0.774,0.839,0.648,0.726,0.839,31,28
53,8540,64,1058.700,923.597,0.406,0.355,0.565,0.375,0.339,0.557,0.454,0.381,0.572,0.425,0.313,0.570,0.429,0.256,0.558,35,27
54,9488,2,133.162,87.127,0.867,1.000,1.000,0.867,1.000,1.000,0.867,1.000,1.000,0.291,0.082,0.352,0.294,0.133,0.404,27,16
55,9500,4,167.943,118.916,0.879,1.000,1.000,0.879,1.000,1.000,0.879,1.000,1.000,0.290,0.196,0.580,0.305,0.339,0.660,31,18
56,9497,8,231.361,183.559,0.875,1.000,1.000,0.875,1.000,1.000,0.875,1.000,1.000,0.343,0.441,0.778,0.337,0.608,0.842,27,18
57,9498,16,365.175,302.127,0.848,0.961,0.969,0.849,0.963,0.970,0.849,0.963,0.970,0.570,0.818,0.914,0.849,0.964,0.970,24,16
58,9499,32,626.841,543.658,0.679,0.756,0.828,0.678,0.767,0.826,0.677,0.768,0.825,0.667,0.761,0.827,0.663,0.749,0.829,30,28
59,9505,64,1170.310,1023.562,0.440,0.403,0.613,0.403,0.384,0.605,0.488,0.452,0.621,0.436,0.362,0.618,0.436,0.294,0.608,39,31
